"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr6",29760446,29760659,1.519e-05,6,1.711e-12,2.864e-09
"chr7",45961400,45961473,8.931e-05,5,5.926e-07,0.002891
"chr7",44240497,44240570,1.693e-06,5,4.13e-10,2.017e-06
"chr12",115134949,115135076,8.566e-08,9,2.117e-10,5.946e-07
"chr6",30180687,30180820,6.516e-07,6,1.053e-09,2.824e-06
"chr11",64051698,64051762,3.285e-05,5,2.602e-07,0.001449
"chr6",33267608,33267781,3.735e-07,9,4.24e-12,8.74e-09
"chr11",47600535,47600596,0.0004554,6,5.977e-07,0.003488
"chr10",126150217,126150316,6.324e-07,5,9.918e-10,3.573e-06
"chr12",76742284,76742363,6.107e-10,5,2.922e-14,1.318e-10
"chr6",31746807,31746919,7.509e-05,6,8.102e-07,0.002576
"chr6",143998951,143999105,7.972e-05,6,2.573e-10,5.957e-07
"chr20",13201192,13201353,0.0003909,6,6.302e-10,1.396e-06
"chr7",151722535,151722628,1.091e-08,5,2.097e-12,8.042e-09
"chr6",31515281,31515404,5.102e-05,6,5.933e-11,1.72e-07
"chr6",31865865,31866037,3.735e-07,5,2.215e-11,4.592e-08
"chr6",29944979,29945099,7.87e-07,8,1.639e-09,4.87e-06
"chr6",32122009,32122161,1.784e-09,8,4.695e-11,1.102e-07
"chr19",10381354,10381454,4.275e-07,5,1.34e-10,4.78e-07
"chr5",76114521,76114684,2.59e-08,5,4.708e-13,1.03e-09
"chr6",33385235,33385440,3.118e-07,10,8.37e-12,1.456e-08
"chr17",46608267,46608345,0.0001277,6,1.651e-07,0.0007547
"chr2",85581504,85581697,3.064e-06,5,2.531e-12,4.677e-09
"chr6",30619112,30619232,8.276e-06,8,6.764e-08,0.000201
"chr6",31830526,31830656,1.129e-08,5,2.407e-12,6.601e-09
"chr20",33872553,33872806,1.732e-05,6,5.573e-11,7.855e-08
"chr6",30128510,30128558,0.0005269,5,7.135e-07,0.005287
"chr16",62070085,62070246,0.0004108,5,3.933e-08,8.711e-05
"chr6",31707578,31707746,6.353e-07,7,2.205e-09,4.68e-06
"chr6",28602583,28602791,0.0001224,7,3.196e-09,5.48e-06
"chr19",2236342,2236503,3.411e-06,5,3.85e-12,8.527e-09
"chr4",4859934,4860026,8.279e-05,6,6.38e-07,0.00247
"chr4",5890357,5890430,3.637e-07,6,5.237e-11,2.558e-07
"chr11",7041490,7041599,2.822e-06,6,6.05e-09,1.979e-05
"chr11",28129652,28129805,9.398e-08,5,1.84e-10,4.288e-07
"chr6",33168278,33168462,1.252e-07,6,4.026e-11,7.802e-08
"chr15",93616893,93617030,1.051e-06,6,2.44e-09,6.352e-06
"chr13",48877590,48877719,3.024e-09,6,7.841e-14,2.167e-10
"chr6",33424023,33424132,3.385e-05,6,7.204e-08,0.0002357
"chr6",33272179,33272254,5.35e-05,5,6.668e-07,0.003166
"chr6",122931153,122931308,1.853e-09,8,3.117e-13,7.17e-10
"chr7",143599212,143599409,1.602e-06,5,4.065e-10,7.359e-07
"chr2",74685464,74685602,3.206e-08,6,5.271e-12,1.362e-08
"chr6",28603160,28603230,1.602e-06,5,1.177e-08,5.998e-05
