"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr6",30688800,30688882,2.263e-20,5,1.671e-15,7.242e-12
"chr6",31746794,31747250,0,18,2.437e-66,1.906e-63
"chr13",48877433,48877719,2.247e-32,8,3.761e-32,4.689e-29
"chr1",113249941,113250088,3.299e-20,5,6.672e-28,1.619e-24
"chr17",75315485,75315567,1.105e-19,5,7.836e-21,3.408e-17
"chr6",33385235,33385582,9.613e-32,11,8.221e-40,8.448e-37
"chr6",32363120,32363325,3.911e-37,6,3.313e-34,5.763e-31
"chr11",44332127,44332624,1.972e-25,15,1.04e-42,7.459e-40
"chr1",93645672,93646016,2.091e-16,5,7.322e-28,7.59e-25
"chr6",31631637,31631801,1.161e-27,7,1.426e-25,3.1e-22
"chr19",10381354,10381498,1.747e-27,6,8.739e-30,2.164e-26
"chr5",112824613,112824765,4.447e-12,5,1.363e-13,3.199e-10
"chr6",30685073,30685303,5.243e-26,7,1.941e-29,3.01e-26
"chr6",31382064,31382250,7.637e-21,5,3.126e-28,5.992e-25
"chr4",123747446,123747750,6.456e-10,7,2.871e-22,3.368e-19
"chr19",12146564,12146696,1.353e-24,5,1.094e-24,2.955e-21
"chr3",44770850,44770973,1.117e-15,6,2.029e-11,5.884e-08
"chr6",32064145,32064218,2.495e-05,7,3.452e-06,0.01672
"chr6",31502385,31502521,1.979e-31,6,1.29e-41,3.383e-38
"chr6",31707452,31707803,3.902e-30,11,1.428e-36,1.45e-33
"chr11",117748131,117748236,1.201e-09,5,1.66e-11,5.637e-08
"chr7",91510313,91510597,2.751e-16,6,2.324e-22,2.919e-19
"chr1",25292017,25292412,1.729e-09,8,6.098e-18,5.505e-15
"chr19",8428849,8429166,3.721e-17,5,1.957e-32,2.201e-29
"chr10",105212055,105212289,1.426e-08,6,8.38e-14,1.277e-10
"chr13",114107875,114108052,2.311e-39,7,3.449e-37,6.95e-34
"chr11",7041376,7041987,1.798e-29,13,1.639e-39,9.566e-37
"chr19",44324746,44325008,6e-21,9,9.398e-24,1.279e-20
"chr6",28601268,28601519,8.279e-10,13,1.152e-12,1.637e-09
"chr16",62070004,62070306,1.448e-22,9,2.443e-27,2.884e-24
"chr8",49647578,49647809,1.749e-17,5,1.165e-23,1.799e-20
"chr12",58146163,58146524,1.853e-16,6,1.255e-23,1.239e-20
"chr10",72201416,72201668,4.739e-17,6,3.411e-26,4.827e-23
"chr8",11561497,11561593,1.629e-27,5,2.479e-26,9.21e-23
"chr1",41444650,41444871,1.527e-23,9,4.463e-23,7.202e-20
"chr19",1438055,1438247,4.939e-26,6,2.059e-28,3.824e-25
"chr22",38851317,38851366,5.637e-17,5,1.598e-19,1.163e-15
"chr7",152160884,152161197,1.31e-19,5,3.898e-25,4.441e-22
"chr6",27832868,27832992,4.516e-18,5,1.509e-18,4.34e-15
"chr20",57875317,57875545,3.597e-20,7,3.18e-31,4.974e-28
"chr19",859329,859680,1.875e-17,6,2.672e-23,2.714e-20
"chr3",73674067,73674170,6.601e-23,7,1.267e-26,4.385e-23
"chr11",790141,790293,3.604e-16,6,7.318e-20,1.717e-16
"chr11",66335974,66336197,3.988e-21,5,8.053e-27,1.288e-23
"chr7",1967620,1967976,2.148e-19,5,7.391e-30,7.404e-27
"chr5",87980881,87981253,5.993e-14,6,2.893e-25,2.773e-22
"chr19",52004991,52005188,4.047e-20,5,1.715e-25,3.105e-22
"chr21",42219138,42219299,5.013e-20,6,7.621e-23,1.688e-19
