"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr11",71955298,71955439,1.368e-07,5,3.602e-10,9.11e-07
"chr10",49893335,49893463,2.476e-06,6,1.03e-07,0.000287
"chr6",84743085,84743364,9.599e-11,6,3.564e-13,4.555e-10
"chr6",29720459,29720635,1.86e-08,5,4.766e-13,9.657e-10
"chr10",72201416,72201668,7.958e-05,6,5.04e-10,7.132e-07
"chr3",10149881,10149979,8.499e-11,5,9.82e-13,3.573e-09
"chr19",36236335,36236496,1.923e-16,6,5.199e-20,1.152e-16
"chr3",181428461,181428697,1.504e-08,8,2.568e-12,3.88e-09
"chr6",31740786,31740978,1.35e-06,7,2.341e-12,4.348e-09
"chr8",122651485,122651575,4.522e-13,5,9.32e-16,3.519e-12
"chr6",29716938,29717136,5.162e-09,5,1.349e-13,2.429e-10
"chr14",106938288,106938509,2.236e-12,6,4.476e-19,7.222e-16
"chr22",46663521,46663783,1.144e-07,5,7.425e-18,1.011e-14
"chr3",30936238,30936318,4.544e-09,5,2.451e-11,1.093e-07
"chr17",57696952,57697125,1.534e-10,5,3.686e-17,7.598e-14
"chr17",6554841,6554987,7.243e-06,5,1.308e-11,3.196e-08
"chr6",33263119,33263475,1.868e-07,7,1.745e-15,1.779e-12
"chr10",27703288,27703377,4.002e-06,5,4.423e-08,0.0001772
"chr11",2482222,2482594,2.101e-07,10,4.753e-15,4.576e-12
"chr4",89618981,89619085,9.218e-07,8,2.75e-09,9.429e-06
"chr20",57463264,57463974,6.04e-09,23,1.802e-14,9.033e-12
"chr6",29455301,29455532,1.307e-09,6,9.459e-16,1.543e-12
"chr3",128840618,128840686,4.138e-05,5,1.274e-07,0.0006677
"chr6",28641621,28641757,2.266e-09,8,2.608e-12,6.837e-09
"chr6",3849234,3849818,2.041e-09,22,2.712e-15,1.627e-12
"chr11",2422565,2422698,6.709e-10,7,2.486e-11,6.664e-08
"chr12",81471648,81471884,1.324e-07,7,2.308e-13,3.486e-10
"chr22",30662798,30663041,1.031e-13,6,7.102e-22,1.042e-18
"chr17",46651721,46651952,7.895e-08,7,9.636e-13,1.488e-09
"chr11",278393,278462,2.459e-05,5,7.034e-08,0.0003635
"chr6",31129328,31129466,4.749e-08,5,1.639e-09,4.235e-06
"chr6",123317407,123317569,5.566e-12,5,1.588e-16,2.444e-13
"chr4",331395,331517,1.923e-16,5,1.232e-19,3.601e-16
"chr6",31164913,31164952,8.716e-05,6,2.867e-06,0.02587
"chr6",30121773,30122051,3.058e-10,7,4.026e-17,5.165e-14
"chr22",44287771,44287958,1.051e-10,6,3.199e-13,6.1e-10
"chr10",22634141,22634226,3.693e-09,6,2.056e-10,8.627e-07
