"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr12",89748772,89749142,1.063e-31,6,6.192e-29,5.967e-26
"chr19",46974971,46975180,2.075e-09,5,2.167e-15,3.789e-12
"chr19",8428849,8429166,7.444e-21,5,1.206e-38,1.357e-35
"chr6",31938860,31939322,0,13,5.173e-54,3.993e-51
"chr8",143859668,143859990,5.273e-38,7,9.821e-42,1.088e-38
"chr19",42348450,42348902,1.538e-40,8,1.136e-49,8.965e-47
"chr1",92012407,92012736,2.053e-19,5,5.13e-39,5.561e-36
"chr6",33048253,33048879,2.871e-37,20,4.253e-60,2.422e-57
"chr2",131673770,131674201,1.144e-11,6,6.967e-19,5.764e-16
"chr14",101498205,101498343,3.796e-32,6,3.464e-50,8.951e-47
"chr11",130184746,130184822,1.199e-34,7,5.194e-37,2.437e-33
"chr11",28129558,28129852,4.648e-35,7,6.238e-46,7.566e-43
"chr3",148804977,148805294,4.045e-34,6,7.322e-53,8.236e-50
"chr2",234763268,234763390,5.322e-29,6,7.396e-38,2.162e-34
"chr4",4864292,4864902,1.8e-13,11,6.344e-33,3.709e-30
"chr6",33132610,33132727,0,7,1.476e-43,4.5e-40
"chr7",127670992,127671195,2.376e-25,6,1.55e-38,2.722e-35
"chr1",27961562,27962037,1.164e-14,7,8.574e-28,6.437e-25
"chr1",1104256,1104526,9.941e-28,6,6.159e-31,8.135e-28
"chr11",67383650,67383862,7.218e-12,5,7.781e-17,1.867e-13
"chr7",94537715,94537893,0,8,1.521e-32,3.048e-29
"chr1",17846707,17846815,3.558e-34,5,5.86e-36,1.935e-32
"chr7",4832111,4832535,9.352e-10,5,5.333e-20,4.485e-17
"chr17",41924398,41924577,3.538e-36,8,8.909e-38,1.775e-34
"chr5",121414136,121414425,1.01e-21,6,4.864e-36,6.002e-33
"chr14",101530342,101530856,1.786e-29,6,8.853e-65,6.142e-62
"chr1",3566949,3567214,4.226e-11,7,2.487e-12,3.347e-09
"chr20",30073398,30073576,2.768e-20,5,5.57e-26,1.116e-22
"chr15",90727885,90728027,1.399e-19,5,1.534e-25,3.851e-22
"chr10",35894011,35894430,1.832e-28,8,3.33e-37,2.834e-34
"chr20",44509619,44509853,9.177e-39,8,3.622e-37,5.519e-34
"chr19",57741987,57742444,3.953e-26,10,7.127e-40,5.561e-37
"chr6",149721358,149721457,8.558e-40,5,1.467e-38,5.284e-35
"chr2",7171868,7172297,5.896e-12,5,7.922e-24,6.585e-21
"chr19",46142573,46142711,7.164e-26,5,3.693e-32,9.544e-29
"chr12",115134903,115135238,6.488e-42,14,1.35e-42,1.437e-39
"chr8",22735110,22735478,6.51e-22,5,6.764e-29,6.555e-26
"chr19",58609601,58609987,1.599e-31,9,7.112e-45,6.57e-42
"chr12",12848976,12849138,1.303e-22,5,1.296e-28,2.852e-25
"chr10",123356040,123356336,5.252e-18,5,2.037e-22,2.454e-19
"chr8",110374562,110374866,6.305e-21,6,3.12e-37,3.66e-34
"chr19",11909182,11909408,1.364e-28,7,1.729e-20,2.728e-17
"chr1",78511139,78511600,9.302e-17,8,7.414e-33,5.735e-30
"chr11",2153990,2154432,8.732e-12,7,8.013e-25,6.465e-22
"chr12",54409206,54409336,2.311e-32,6,1.603e-34,4.396e-31
"chr20",13200972,13201353,4.433e-24,8,7.327e-45,6.858e-42
"chr20",43729807,43730072,2.884e-28,7,1.939e-34,2.609e-31
"chr6",30720079,30720263,6.158e-28,6,5.146e-38,9.973e-35
"chr17",76975943,76976357,6.985e-28,8,3.824e-38,3.294e-35
"chr19",52956621,52956832,6.81e-33,8,1.603e-37,2.71e-34
"chr12",122711987,122712381,3.156e-15,8,2.472e-24,2.238e-21
"chr19",57352013,57352269,3.616e-30,9,2.975e-30,4.145e-27
"chr6",31704538,31704844,5.317e-29,7,3.919e-27,4.568e-24
"chr7",95951568,95951745,2.479e-33,6,5.817e-40,1.172e-36
"chr11",2019435,2020560,1.051e-39,36,1.57e-62,4.978e-60
"chr1",26487590,26488129,1.395e-16,5,5.328e-30,3.525e-27
"chr6",33160066,33160318,8.499e-36,12,1.78e-41,2.519e-38
"chr10",133273799,133274319,2.211e-34,8,1.272e-55,8.725e-53
"chr5",95768914,95769079,2.131e-36,6,4.416e-40,9.544e-37
"chr3",111697478,111697794,2.795e-18,6,7.273e-27,8.208e-24
"chr5",170736131,170736389,3e-32,8,4.383e-24,6.058e-21
"chr7",150019954,150020269,8.396e-17,9,9.293e-17,1.257e-13
"chr16",90113892,90114200,2.96e-17,5,3.619e-26,4.191e-23
"chr13",52419264,52419483,8.945e-31,6,1.051e-32,1.712e-29
"chr6",32363120,32363325,7.041e-38,6,3.124e-34,5.434e-31
"chr2",63815862,63816096,5.214e-29,6,7.642e-30,1.165e-26
"chr6",74072241,74072447,6.647e-40,7,2.279e-44,3.944e-41
"chr20",44600908,44600978,1.097e-39,6,3.786e-43,1.929e-39
"chr22",43506193,43506649,2.157e-40,14,7.376e-49,5.768e-46
"chr11",112831680,112831915,2.631e-27,6,2.774e-25,4.21e-22
"chr6",28601268,28601519,2.99e-20,13,3.073e-24,4.366e-21
"chr11",71955298,71955439,1.391e-24,5,7.551e-28,1.91e-24
"chr6",54711377,54711476,1.157e-23,5,6.896e-19,2.484e-15
"chr6",31600532,31600734,5.49e-36,6,1.746e-48,3.082e-45
"chr11",65816462,65816819,1.01e-16,6,9.557e-35,9.547e-32
"chr11",124767719,124768015,2.014e-21,6,5.682e-34,6.846e-31
"chr10",120355138,120355427,1.414e-21,7,2.85e-27,3.517e-24
"chr2",10442816,10442953,7.034e-25,5,4.465e-31,1.162e-27
"chr6",143998868,143999105,1.895e-29,7,7.945e-41,1.195e-37
"chr17",9729234,9729424,5.991e-29,8,4.465e-33,8.379e-30
"chr11",94706532,94706874,2.749e-24,7,2.362e-31,2.463e-28
"chr6",31129328,31129751,0,11,1.329e-71,1.12e-68
"chr6",28945181,28945507,3.216e-13,8,5.416e-19,5.924e-16
"chr11",2950619,2950754,4.341e-22,5,4.345e-30,1.148e-26
"chr17",259754,260000,1.448e-16,6,3.172e-17,4.598e-14
"chr5",71014735,71014918,3.145e-35,7,7.997e-35,1.558e-31
"chr15",45671147,45671279,8.444e-17,5,1.865e-20,5.037e-17
"chr11",8285508,8285614,6.732e-32,5,2.151e-32,7.235e-29
"chr6",31650734,31651362,1.427e-17,20,3.481e-25,1.976e-22
"chr19",11649461,11649701,9.422e-22,5,1.211e-25,1.8e-22
"chr3",138725152,138725335,9.641e-26,6,1.654e-38,3.224e-35
"chr7",150755416,150755601,3.241e-29,7,6.357e-29,1.225e-25
"chr7",120590543,120590861,1.259e-18,6,3.967e-29,4.449e-26
"chr10",104178865,104179054,8.152e-39,7,4.669e-31,8.81e-28
"chr6",10881890,10882240,9.247e-19,6,3.356e-31,3.419e-28
"chr17",46608267,46608570,0,9,2.271e-61,2.672e-58
"chr10",135340720,135341025,0,6,5.42e-50,6.337e-47
"chr6",32014299,32014739,3.128e-38,9,2.338e-47,1.895e-44
"chr1",160370207,160370427,7.023e-31,7,6.15e-38,9.968e-35
"chr17",79374326,79374741,2.648e-11,5,9.285e-21,7.979e-18
"chr6",26569444,26569596,6.383e-26,5,9.787e-35,2.296e-31
"chr11",76380920,76381236,2.119e-33,8,9.619e-37,1.086e-33
"chr12",51236581,51236768,3.277e-36,6,1.136e-34,2.167e-31
"chr7",79083752,79084196,3.144e-30,9,1.215e-40,9.76e-38
"chr19",16830612,16830859,5.549e-32,5,9.373e-45,1.353e-41
"chr20",3065342,3065582,6.739e-21,7,1.425e-29,2.118e-26
"chr7",50132652,50133024,3.196e-19,7,3.036e-24,2.91e-21
"chr4",5891832,5892208,7.9e-18,5,3.381e-33,3.207e-30
"chr2",98329690,98330087,1.007e-16,6,7.929e-32,7.122e-29
"chr1",25257504,25257813,0,11,6.57e-51,7.582e-48
"chr3",46875703,46875903,2.645e-38,8,1.135e-50,2.024e-47
"chr6",31778621,31778842,0,8,2.917e-59,4.707e-56
"chr5",126852954,126853405,4.753e-28,9,1.944e-37,1.537e-34
"chr4",5021110,5021328,5.884e-25,7,3.984e-27,6.517e-24
"chr3",171757266,171757361,2.941e-25,5,4.107e-22,1.542e-18
"chr11",105892992,105893282,2.715e-29,7,1.232e-31,1.515e-28
"chr20",13976092,13976190,4.433e-24,6,2.583e-21,9.401e-18
"chr3",49459854,49460177,1.873e-21,8,7.084e-31,7.821e-28
"chr11",15136344,15136505,1.331e-25,5,2.147e-36,4.755e-33
"chr11",108092963,108093109,9.499e-26,5,2.724e-38,6.655e-35
"chr4",77356174,77356507,9.687e-22,5,3.917e-29,4.194e-26
"chr3",32509017,32509212,8.253e-08,5,5.105e-12,9.335e-09
"chr14",96670861,96671169,1.641e-30,8,7.842e-43,9.08e-40
"chr6",33284346,33284839,6.699e-29,10,7.491e-42,5.418e-39
"chr5",132113600,132113860,3.144e-24,8,1.074e-37,1.473e-34
"chr7",39605535,39605883,5.766e-18,5,4.283e-28,4.389e-25
"chr19",55660513,55660625,1.473e-13,5,5.856e-19,1.865e-15
"chr3",52312571,52312684,4.341e-22,5,1.197e-26,3.776e-23
"chr6",8102918,8103092,5.295e-25,5,1.204e-28,2.467e-25
"chr2",223916501,223916952,2.606e-26,7,4.166e-47,3.294e-44
"chr19",36024278,36024439,2.676e-16,5,3.141e-18,6.957e-15
