"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr14",50154982,50155174,7.472e-28,7,1.169e-21,2.172e-18
"chr6",46138724,46139019,1.633e-29,9,1.282e-29,1.55e-26
"chr15",63674107,63674276,2.753e-24,5,7.212e-26,1.522e-22
"chr6",32808503,32808752,6.941e-12,6,3.277e-16,4.77e-13
"chr19",859498,859680,7.378e-15,5,8.456e-19,1.657e-15
"chr1",75139346,75139583,6.962e-11,7,2.459e-20,3.701e-17
"chr3",49044373,49044551,3.356e-17,6,1.197e-23,2.398e-20
"chr12",123464510,123464823,1.797e-20,5,5.937e-31,6.764e-28
"chr7",130132160,130132453,2.606e-23,13,7.089e-26,8.628e-23
"chr6",149805994,149806339,2.281e-08,7,4.578e-16,4.591e-13
"chr20",54967329,54967512,7.58e-18,5,2.058e-34,4.011e-31
"chr10",72201416,72201668,1.93e-14,6,1.479e-22,2.092e-19
"chr5",169532685,169532775,9.376e-29,6,9.532e-24,3.777e-20
"chr4",154073370,154073709,9.554e-11,5,6.036e-22,6.35e-19
"chr4",47839875,47840136,1.095e-12,5,3.427e-20,4.682e-17
"chr4",8582100,8582300,2.019e-10,7,1.483e-12,2.644e-09
"chr1",113249941,113250088,1.985e-18,5,1.199e-25,2.908e-22
"chr17",46622453,46622715,1.135e-09,7,3.625e-13,4.934e-10
"chr2",7005727,7006004,2.12e-17,7,7.092e-26,9.13e-23
"chr17",27045042,27045302,3.584e-14,6,1.195e-16,1.523e-13
"chr20",30028205,30028292,1.908e-09,5,2.203e-11,9.031e-08
"chr21",42219138,42219221,5.588e-17,5,5.214e-19,2.24e-15
"chr7",116139321,116139425,6.354e-12,6,1.243e-13,4.264e-10
"chr5",148758790,148759040,1.675e-12,5,2.882e-18,4.111e-15
"chr7",130131479,130131923,5.945e-20,17,5.634e-27,4.525e-24
"chr1",178062685,178062853,4.843e-24,5,7.085e-30,1.504e-26
"chr11",41481357,41481655,3.107e-12,5,6.062e-22,7.254e-19
"chr6",30523071,30523449,9.107e-27,10,3.758e-33,3.546e-30
"chr20",30407051,30407261,2.008e-21,5,1.463e-22,2.484e-19
"chr15",91427820,91428056,7.915e-05,5,7.665e-11,1.158e-07
"chr6",33132610,33132705,4.487e-19,6,3.312e-20,1.243e-16
"chr20",30073398,30073576,9.201e-13,5,6.309e-17,2.224e-13
"chr6",31621140,31621369,8.647e-12,7,6.376e-19,9.928e-16
"chr6",111279492,111279922,2.713e-22,12,9.491e-27,7.871e-24
"chr6",33284346,33284542,1.93e-20,7,1.319e-21,2.4e-18
"chr20",42142223,42143211,1.818e-20,25,1.572e-36,5.672e-34
"chr2",677533,677591,8.343e-15,5,2.157e-17,1.326e-13
"chr11",94278406,94278603,1.343e-09,7,9.689e-16,1.809e-12
"chr14",96670861,96671169,1.528e-20,8,6.038e-30,6.991e-27
"chr7",99691603,99691734,1.7e-37,6,1.005e-35,2.736e-32
"chr17",41561299,41561480,4.41e-17,6,9.615e-19,1.894e-15
"chr6",31590512,31590674,6.914e-31,9,1.035e-31,2.278e-28
"chr22",26137737,26137997,3.177e-12,5,5.311e-22,7.284e-19
"chr5",34042975,34043509,1.01e-14,7,6.098e-26,4.072e-23
"chr7",27186992,27187560,4.593e-12,8,5.416e-27,3.4e-24
"chr2",157184400,157184614,3.608e-09,5,7.583e-14,1.264e-10
"chr1",166958220,166958439,2.181e-32,7,2.112e-37,3.438e-34
"chr6",31627082,31627313,1.093e-26,7,2.46e-31,3.798e-28
"chr5",2537495,2537834,0.000357,6,2.841e-10,2.989e-07
"chr8",72756811,72757004,2.508e-22,7,7.153e-25,1.322e-21
"chr2",121223846,121224009,2.847e-09,5,2.489e-10,5.445e-07
"chr3",46875703,46875903,4.776e-25,8,5.588e-30,9.963e-27
"chr11",31837103,31837250,3.596e-16,5,4.411e-27,1.07e-23
"chr20",10015645,10015964,8.152e-16,6,2.849e-19,3.185e-16
"chr3",182970674,182970903,2.941e-19,7,3.024e-22,4.709e-19
"chr1",94344259,94344710,9.098e-13,6,3.905e-25,3.088e-22
"chr6",30688800,30688882,3.809e-18,5,4.999e-14,2.173e-10
"chr6",33386331,33386556,3.651e-21,6,3.981e-21,6.31e-18
"chr14",106938288,106938509,4.787e-22,6,1.095e-27,1.767e-24
"chr19",52956621,52956832,2.805e-21,8,8.209e-25,1.387e-21
"chr3",185000585,185000824,9.043e-16,5,1.812e-21,2.704e-18
"chr17",46608267,46608570,5.69e-35,9,1.866e-49,2.196e-46
"chr13",78493919,78494067,2.418e-14,5,1.031e-17,2.484e-14
"chr20",48428996,48429238,7.067e-22,7,6.051e-21,8.917e-18
"chr1",2458225,2458298,9.203e-19,5,1.342e-21,6.557e-18
"chr15",22833148,22833400,9.447e-09,8,2.377e-11,3.364e-08
"chr7",127670992,127671195,7.258e-19,6,2e-26,3.512e-23
"chr3",183958999,183959171,8.322e-11,7,1.022e-12,2.119e-09
