"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr5",140772181,140772681,8.614e-06,6,8.1e-18,5.777e-15
"chr14",106938288,106938509,8.704e-22,6,1.673e-27,2.699e-24
"chr6",30166731,30166872,2.453e-28,8,2.268e-20,5.736e-17
"chr6",32116779,32117379,3.793e-23,16,1.445e-32,8.586e-30
"chr6",28641621,28641757,5.003e-20,8,6.411e-22,1.681e-18
"chr3",33260731,33261000,7.062e-15,5,2.923e-17,3.875e-14
"chr5",95997735,95997923,4.668e-18,5,3.47e-23,6.583e-20
"chr12",57940956,57941150,2.916e-20,6,2.253e-26,4.141e-23
"chr15",83953708,83954150,1.159e-27,10,5.977e-23,4.823e-20
"chr2",44065549,44066030,2.107e-26,12,5.503e-42,4.08e-39
"chr7",106505687,106505961,1.665e-11,5,3.319e-21,4.32e-18
"chr18",74729020,74729251,1.869e-37,7,2.756e-40,4.255e-37
"chr1",202091864,202092005,3.916e-23,7,1.385e-19,3.504e-16
"chr6",30523071,30523449,2.284e-26,10,6.004e-33,5.664e-30
"chr6",133562086,133562494,9.533e-19,12,1.631e-25,1.425e-22
"chr10",135122745,135122875,9.293e-11,6,1.007e-14,2.771e-11
"chr3",196014710,196014846,8.123e-24,6,1.76e-20,4.615e-17
"chr11",105481282,105481509,2.702e-09,6,1.213e-17,1.905e-14
"chr20",10015645,10015964,9.652e-16,6,3.474e-19,3.884e-16
"chr17",57642674,57642763,6.901e-08,5,3.736e-09,1.497e-05
"chr20",33880194,33880370,6.932e-15,6,7.922e-21,1.605e-17
"chr6",30112422,30112776,3.251e-17,5,3.084e-28,3.107e-25
"chr6",84742997,84743364,5.101e-23,10,5.447e-26,5.292e-23
"chr1",179560699,179560983,3.333e-11,5,4.371e-17,5.488e-14
"chr7",99775421,99775558,7.777e-17,7,4.167e-17,1.085e-13
"chr20",43729807,43730072,3.576e-17,7,6.573e-24,8.845e-21
"chr3",164914436,164914621,2.163e-13,6,1.975e-19,3.806e-16
"chr6",30165960,30166173,1.517e-22,6,4.453e-26,7.455e-23
"chr12",81471648,81471884,2.951e-13,7,7.228e-23,1.092e-19
"chr7",114055073,114055210,6.945e-13,6,2.573e-15,6.647e-12
"chr10",90343165,90343435,1.346e-28,7,1.427e-30,1.885e-27
"chr15",91427820,91428056,7.951e-05,5,8.378e-11,1.266e-07
"chr1",1713943,1714271,3.751e-09,5,6.817e-18,7.412e-15
"chr13",27335081,27335204,5.849e-20,5,1.824e-20,5.289e-17
"chr12",133066504,133066682,4.695e-13,6,5.391e-16,1.112e-12
"chr22",26137737,26137997,3.143e-12,5,6.682e-22,9.164e-19
"chr1",109941042,109941201,6.825e-10,5,2.568e-13,5.759e-10
"chr3",187870862,187871034,1.615e-07,5,2.598e-12,5.387e-09
"chr13",33002359,33002597,5.739e-14,6,2.692e-17,4.033e-14
"chr20",62693942,62694005,9.138e-14,6,2.683e-16,1.257e-12
"chr7",27183195,27183436,4.212e-05,6,4.082e-09,6.041e-06
"chr4",163085234,163085411,4.555e-21,7,1.34e-23,2.699e-20
"chr22",46663417,46663783,5.258e-14,6,1.702e-30,1.658e-27
"chr6",76059449,76059773,2.331e-14,6,3.866e-24,4.255e-21
"chr19",59070390,59070579,6.84e-19,5,3.124e-24,5.894e-21
"chr6",160389644,160389851,1.085e-16,8,2.115e-24,3.643e-21
"chr2",225266655,225266876,5.663e-18,6,2.432e-23,3.925e-20
"chr13",46425836,46426026,1.591e-16,7,2.098e-20,3.938e-17
"chr6",28510280,28510532,6.446e-11,9,1.739e-15,2.514e-12
"chr7",130131479,130131923,1.023e-19,17,7.976e-27,6.406e-24
"chr4",8582100,8582300,2.331e-10,7,1.748e-12,3.117e-09
"chr19",13875296,13875430,1.542e-15,5,2.812e-21,7.482e-18
"chr1",153762200,153762564,2.266e-10,6,2.842e-18,2.784e-15
"chr7",16505588,16505664,3.793e-10,5,4.396e-12,2.063e-08
"chr6",31740786,31740978,2.307e-23,7,4.028e-30,7.481e-27
"chr6",48036211,48036676,3.379e-17,10,6.396e-24,4.905e-21
"chr6",32808503,32808752,8.145e-12,6,3.955e-16,6.36e-13
"chr4",3773814,3773996,1.772e-19,5,2.066e-20,4.049e-17
"chr3",49459854,49460177,1.243e-13,8,4.286e-19,4.732e-16
"chr2",238707008,238707312,3.325e-20,6,8.023e-24,9.412e-21
"chr6",31548284,31548437,8.493e-11,5,5.105e-15,1.19e-11
"chr7",149569882,149570183,5.23e-15,9,3.479e-19,4.121e-16
"chr12",129309116,129309376,1.006e-09,5,3.798e-14,5.208e-11
"chr7",12610077,12610175,1.435e-22,5,4.963e-23,1.806e-19
"chr13",46189837,46190098,3.246e-22,7,4.507e-28,6.158e-25
"chr11",66035909,66036038,2.479e-10,5,3.552e-15,9.821e-12
"chr6",155537900,155538055,5.112e-09,6,8.101e-15,1.865e-11
"chr19",14785592,14785849,4.297e-11,5,2.266e-22,3.145e-19
"chr6",20534631,20534758,1.411e-17,7,4.19e-14,1.175e-10
"chr6",30434071,30434552,2.689e-18,13,1.918e-34,1.422e-31
"chr2",124782585,124782885,2.87e-10,5,1.207e-19,1.435e-16
"chr11",111783266,111783355,1.741e-21,5,5.795e-22,2.322e-18
"chr6",29520964,29521272,1.252e-16,9,2.481e-20,2.873e-17
"chr6",32942062,32942808,4.557e-11,9,3.98e-25,1.902e-22
"chr6",33395289,33395495,1.648e-16,6,1.08e-21,1.87e-18
"chr19",57018847,57019069,1.295e-15,5,3.787e-23,6.083e-20
"chr20",57485764,57486076,1.258e-24,5,4.66e-23,5.326e-20
"chr17",42733541,42733729,3.079e-16,6,4.187e-17,7.942e-14
"chr6",42928273,42928546,1.211e-22,12,2.222e-16,2.9e-13
"chr14",101530342,101530856,4.694e-18,6,5.923e-33,4.109e-30
"chr5",138713896,138714339,3.214e-14,6,5.512e-19,4.437e-16
"chr10",22634037,22634226,4.319e-21,7,2.441e-22,4.606e-19
"chr10",133273946,133274319,2.82e-21,6,9.719e-37,9.292e-34
"chr17",6947287,6947464,2.496e-15,7,4.49e-12,9.046e-09
"chr20",57465438,57465535,3.397e-11,5,3.293e-12,1.211e-08
"chr2",74685458,74685602,1.672e-27,7,2.174e-23,5.384e-20
"chr7",1596049,1596260,5.238e-12,5,1.826e-18,3.086e-15
"chr12",50135417,50135621,2.943e-13,5,8.752e-25,1.53e-21
"chr14",101505890,101506087,8.532e-34,5,5.468e-37,9.898e-34
"chr11",72504856,72504909,5.551e-20,5,5.945e-23,4e-19
"chr3",46875703,46875903,8.699e-25,8,9.234e-30,1.647e-26
"chr6",30121773,30122213,7.068e-29,12,1.418e-41,1.149e-38
"chr13",73356345,73356591,2.828e-22,6,1.692e-24,2.453e-21
"chr16",84224563,84224901,3.083e-10,5,3.665e-19,3.866e-16
"chr19",36236335,36236496,6.047e-29,6,5.941e-31,1.316e-27
"chr17",29297379,29297604,2.967e-15,9,1.997e-18,3.166e-15
"chr5",146832256,146832518,6.915e-12,5,3.804e-17,5.178e-14
"chr6",28956225,28956426,5.227e-26,13,5.938e-26,1.053e-22
"chr19",58545121,58545333,3.72e-15,7,3.391e-23,5.703e-20
"chr11",66035476,66035671,3.404e-16,7,6.89e-17,2.031e-13
"chr20",36148603,36149455,3.466e-12,32,4.937e-19,2.066e-16
"chr10",116164597,116164849,7.66e-12,5,5.191e-19,7.346e-16
"chr6",10881890,10882240,7.48e-14,6,6.871e-23,7e-20
"chr2",217236629,217236882,4.496e-21,6,9.37e-25,1.321e-21
"chr10",75118431,75118678,1.323e-17,5,3.059e-25,4.416e-22
"chr6",136172686,136173085,9.302e-25,6,2.575e-28,2.301e-25
"chr6",31690903,31692375,8.796e-38,34,7.486e-46,1.814e-43
"chr6",31938860,31939322,5.831e-28,13,2.351e-31,1.815e-28
