"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr8",101170018,101170202,4.528e-16,7,1.485e-17,2.878e-14
"chr20",36148132,36148375,1.586e-15,7,5.781e-19,8.484e-16
"chr6",31704538,31704844,3.305e-16,7,5.038e-17,5.871e-14
"chr11",28129558,28129852,1.508e-25,7,7.447e-35,9.033e-32
"chr10",127464367,127464762,1.549e-39,7,6.275e-41,5.665e-38
"chr10",35894011,35894430,3.842e-11,8,9.54e-21,8.12e-18
"chr6",168393929,168394198,2.926e-07,5,4.154e-12,5.506e-09
"chr6",10694902,10695206,1.27e-11,6,1.029e-21,1.207e-18
"chr7",94537715,94537893,2.112e-32,8,6.443e-25,1.291e-21
"chr1",93645672,93646016,2.104e-14,5,8.693e-25,9.012e-22
"chr10",104178865,104179054,2.559e-27,7,6.082e-23,1.148e-19
"chr11",76380920,76381236,1.242e-21,8,2.645e-24,2.985e-21
"chr2",677533,677591,8.27e-15,5,2.217e-17,1.363e-13
"chr11",111847691,111847984,1.678e-11,5,3.463e-19,4.214e-16
"chr7",150020107,150020269,3.504e-08,7,1.462e-08,3.218e-05
"chr6",30690212,30690392,2.971e-11,5,1.803e-15,3.519e-12
"chr1",27961679,27962037,3.013e-08,6,2.423e-14,2.411e-11
"chr10",13043877,13043986,3.886e-25,6,1.14e-20,3.73e-17
"chr12",129309116,129309376,9.715e-10,5,3.241e-14,4.446e-11
"chr6",27839849,27840257,6.624e-19,6,2.41e-29,2.107e-26
"chr6",31600532,31600734,1.012e-28,6,1.807e-29,3.189e-26
"chr7",1967620,1967976,3.04e-19,5,1.307e-27,1.309e-24
"chr15",90727885,90728027,1.877e-10,5,5.405e-15,1.366e-11
"chr11",2906933,2907127,1.804e-27,7,4.306e-32,7.914e-29
"chr1",50489417,50489954,2.851e-20,12,9.139e-33,6.069e-30
"chr14",96670861,96671169,1.638e-20,8,5.305e-30,6.142e-27
"chr6",8102918,8103092,7.036e-16,5,2.782e-19,5.702e-16
"chr3",122296368,122296613,5.482e-27,6,6.504e-29,9.466e-26
"chr6",31744338,31744962,1.323e-22,14,5.61e-40,3.206e-37
"chr12",4554595,4554809,1.3e-12,5,5.846e-21,9.742e-18
"chr2",10442816,10442953,1.806e-17,5,5.255e-23,1.368e-19
"chr1",161008296,161008826,5.273e-15,8,3.073e-28,2.068e-25
"chr11",108092963,108093109,1.641e-19,5,5.448e-30,1.331e-26
"chr6",4021362,4021498,2.552e-25,5,7.297e-29,1.913e-25
"chr6",28911872,28912126,5.339e-19,8,9.426e-21,1.323e-17
"chr6",105628012,105628165,3.757e-11,5,6.295e-18,1.467e-14
"chr6",136172686,136173085,4.827e-25,6,1.571e-28,1.404e-25
"chr20",13200972,13201353,7.127e-17,8,7.713e-33,7.219e-30
"chr20",57414038,57414596,2.241e-16,10,1.841e-26,1.176e-23
"chr20",62198871,62199190,2.027e-16,5,6.844e-24,7.651e-21
"chr12",25102273,25102521,7.963e-14,5,1.514e-16,1.597e-13
"chr22",44287771,44288155,1.038e-22,7,4.033e-27,3.746e-24
"chr4",175750509,175750666,3.705e-19,5,2.756e-25,6.26e-22
"chr11",3253580,3254065,3.564e-10,8,1.927e-17,1.417e-14
"chr6",31829643,31829960,3.746e-23,9,1.464e-24,1.647e-21
"chr12",51236581,51236704,2.39e-07,5,7.229e-08,0.0002096
"chr17",9729234,9729424,3.309e-15,8,6.436e-20,1.208e-16
"chr7",150755416,150755601,1.782e-22,7,3.097e-23,5.97e-20
"chr6",32014299,32014739,3.004e-13,9,1.866e-17,1.512e-14
"chr1",248100182,248100614,9.247e-11,9,1.597e-14,1.32e-11
"chr7",39605535,39605883,5.741e-11,5,2.034e-18,2.084e-15
"chr10",135049990,135050345,2.963e-15,7,2.971e-27,2.985e-24
"chr11",68920433,68920648,5.777e-11,5,7.791e-18,1.292e-14
"chr19",11649461,11649701,2.182e-11,5,6.734e-15,1.006e-11
"chr7",4832111,4832535,1.387e-06,5,6.617e-16,5.602e-13
"chr4",56458332,56458513,4.746e-15,5,5.57e-18,1.097e-14
"chr19",42348450,42348902,7.159e-25,8,3.313e-32,2.613e-29
"chr20",3065342,3065582,1.092e-13,7,2.212e-19,3.286e-16
"chr5",126852954,126853405,2.428e-19,9,1.711e-25,1.352e-22
"chr6",33284346,33284542,2.063e-20,7,1.211e-21,2.204e-18
"chr6",33177713,33177888,0,9,1.23e-32,2.506e-29
"chr14",85996100,85996393,4.546e-23,8,2.373e-29,2.888e-26
"chr4",4859934,4860082,1.863e-25,8,4.676e-26,1.127e-22
"chr16",89557868,89558024,1.05e-23,5,1.131e-25,2.586e-22
"chr11",71955298,71955439,2.135e-16,5,2.148e-19,5.433e-16
"chr6",32118203,32118457,3.427e-13,14,7.91e-18,1.11e-14
"chr4",174451250,174451564,3.884e-23,9,1.497e-30,1.7e-27
"chr6",33281711,33282016,3.559e-20,8,1.666e-25,1.947e-22
"chr19",16830612,16830859,2.697e-06,5,1.289e-13,1.861e-10
"chr6",30720079,30720263,3.324e-06,6,1.904e-11,3.69e-08
"chr3",155421969,155422145,5.802e-06,5,3.068e-10,6.217e-07
"chr6",33248615,33248714,2.559e-27,5,2.446e-26,8.811e-23
"chr6",74072241,74072447,2.266e-14,7,1.447e-19,2.504e-16
"chr17",76976009,76976357,2.021e-12,7,3.095e-17,3.172e-14
"chr6",133562086,133562494,6.199e-19,12,1.023e-25,8.938e-23
"chr1",1104256,1104462,2.072e-14,5,1.587e-19,2.748e-16
"chr5",112042850,112043194,2.651e-30,11,4.668e-40,4.839e-37
"chr6",29580895,29581228,6.321e-26,7,8.052e-29,8.623e-26
"chr8",22735110,22735478,1.276e-12,5,2.022e-20,1.959e-17
"chr6",28129312,28129616,1.268e-14,8,2.994e-16,3.907e-13
"chr19",11909182,11909408,1.464e-19,7,5.148e-15,8.058e-12
"chr11",130184746,130184822,7.424e-24,7,1.454e-26,6.824e-23
"chr20",1472070,1472419,2.432e-09,5,6.302e-17,1.135e-13
"chr19",1095535,1095637,1.203e-16,5,1.182e-16,3.881e-13
"chr18",74960995,74961494,1.864e-21,13,1.065e-26,7.612e-24
"chr11",1855605,1855884,5.134e-11,5,3.472e-19,4.437e-16
"chr11",60623414,60623639,7.223e-14,5,1.49e-19,2.362e-16
"chr12",122712074,122712381,1.546e-10,7,5.49e-15,6.319e-12
"chr19",55660513,55660625,1.371e-06,5,1.581e-10,5.035e-07
"chr6",28601268,28601519,3.162e-07,13,7.06e-10,1.003e-06
"chr1",25292017,25292274,2.51e-08,7,4.746e-14,6.578e-11
"chr2",234763268,234763390,1.915e-21,6,5.691e-29,1.663e-25
"chr12",7342620,7342888,1.532e-12,5,2.451e-25,3.261e-22
"chr15",74218696,74218921,9.865e-10,8,7.37e-14,1.168e-10
"chr11",94706532,94706874,1.315e-17,7,7.071e-24,7.373e-21
"chr2",223916591,223916952,4.562e-06,6,7.714e-13,7.62e-10
"chr5",2537495,2537834,0.0003596,6,2.777e-10,2.921e-07
"chr2",183943387,183943551,4.95e-19,5,4.719e-24,1.026e-20
"chr1",34642183,34642396,1.921e-09,6,1.557e-12,2.607e-09
"chr11",65816462,65816819,2.134e-10,6,1.471e-23,1.469e-20
"chr6",32163729,32164160,1.545e-27,13,4.991e-38,4.13e-35
"chr19",39574711,39575027,6.684e-15,7,7.409e-26,8.361e-23
"chr22",26137737,26137997,3.254e-12,5,4.9e-22,6.72e-19
"chr5",132113600,132113776,6.759e-10,7,4.177e-16,8.998e-13
