"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr5",115152325,115152431,1.85e-32,5,8.107e-32,2.727e-28
"chr11",66335974,66336197,3.442e-24,5,3.883e-30,6.21e-27
"chr5",140810050,140810433,4.61e-18,9,1.239e-26,1.154e-23
"chr19",11529946,11530065,1.703e-18,5,6.206e-25,1.86e-21
"chr6",31746794,31747250,0,18,3.285e-78,2.569e-75
"chr2",47382286,47382739,1.104e-22,6,6.277e-50,4.941e-47
"chr19",1438055,1438247,2.363e-29,6,3.237e-32,6.012e-29
"chr10",126150122,126150316,3.41e-32,6,1.24e-31,2.279e-28
"chr6",31515195,31515404,2.574e-22,7,2.361e-34,4.028e-31
"chr12",76742179,76742603,6.636e-38,9,6.289e-43,5.29e-40
"chr14",102027659,102027797,5.209e-31,5,2.512e-32,6.491e-29
"chr7",24797655,24797884,1.451e-14,7,8.604e-21,1.34e-17
"chr19",58570418,58570491,2.216e-17,6,8.918e-20,4.356e-16
"chr6",64281438,64281886,9.924e-20,8,1.739e-28,1.384e-25
"chr10",105212055,105212289,3.946e-11,6,5.494e-17,8.372e-14
"chr6",29691942,29692582,2.033e-30,14,4.793e-31,2.671e-28
"chr12",110156244,110156459,2.358e-24,5,2.687e-27,4.457e-24
"chr1",54821852,54822298,3.685e-12,6,4.192e-27,3.351e-24
"chr20",57875317,57875545,5.356e-24,7,7.34e-36,1.148e-32
"chr17",75315485,75315868,1.296e-23,8,1.691e-29,1.574e-26
"chr16",10912330,10912718,2.306e-19,6,5.72e-33,5.257e-30
"chr16",85478579,85479053,4.529e-17,6,8.652e-33,6.509e-30
"chr20",33880194,33880370,3.166e-37,6,1.839e-38,3.726e-35
"chr8",49647578,49647809,2.22e-20,5,9.47e-28,1.462e-24
"chr7",30951063,30951498,1.374e-34,10,4.898e-38,4.015e-35
"chr22",38851317,38851366,2.044e-20,5,6.172e-23,4.492e-19
"chr15",22833148,22833400,1.945e-13,8,6.426e-18,9.094e-15
"chr1",201915872,201915999,1.996e-25,5,2.644e-29,7.425e-26
"chr6",33167968,33168516,3.827e-31,12,1.603e-53,1.043e-50
"chr17",5019451,5019989,1.192e-11,6,6.741e-25,4.468e-22
