"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr6",28583970,28584172,9.314e-28,15,2.161e-25,3.815e-22
"chr3",30647669,30647808,4.749e-25,6,3.97e-25,1.018e-21
"chr13",33002359,33002597,4.594e-16,6,2.486e-19,3.725e-16
"chr6",31938860,31939322,4.288e-29,13,7.883e-36,6.085e-33
"chr17",41277973,41278622,1.564e-16,11,8.65e-23,4.753e-20
"chr6",30070073,30070109,6.035e-12,5,2.856e-14,2.826e-10
"chr2",238707008,238707312,1.91e-20,6,3.574e-25,4.192e-22
"chr13",46425836,46426026,5.731e-20,7,5.838e-24,1.096e-20
"chr10",75118431,75118678,1.054e-19,5,1.125e-27,1.624e-24
"chr6",29599011,29599390,4.887e-15,9,5.825e-21,5.481e-18
"chr19",58545121,58545333,4.096e-17,7,3.433e-26,5.775e-23
"chr6",33041217,33041583,1.34e-14,7,4.183e-27,4.075e-24
"chr11",3187361,3187939,0,17,1.535e-59,9.471e-57
"chr6",33048443,33048879,1.683e-10,16,1.034e-12,8.46e-10
"chr3",52528954,52529524,1.17e-16,10,6.857e-28,4.29e-25
"chr7",130131479,130131923,2.481e-23,17,1.611e-31,1.294e-28
"chr3",128840618,128840692,1.981e-16,6,1.19e-14,5.725e-11
"chr11",2482222,2482594,2.259e-37,10,5.752e-67,5.514e-64
"chr5",95997735,95997923,5.539e-20,5,1.013e-25,1.922e-22
"chr3",112359487,112359652,4.393e-11,6,7.58e-17,2.399e-13
"chr6",29520964,29521272,1.001e-18,9,1.051e-23,1.217e-20
"chr11",47399979,47400330,1.404e-11,7,4.537e-19,4.609e-16
"chr1",39874873,39875069,6.614e-30,7,8.362e-35,1.521e-31
"chr6",28973317,28973524,2.41e-27,10,8.896e-33,1.532e-29
"chr12",54393549,54393725,5.692e-18,6,3.619e-26,7.334e-23
"chr22",42296818,42296941,0,5,1.175e-49,3.406e-46
"chr11",2422519,2422730,3.769e-26,10,1.401e-19,2.368e-16
"chr10",72201416,72201668,4.349e-17,6,5.488e-26,7.766e-23
"chr6",32116779,32117379,1.239e-26,16,8.248e-39,4.902e-36
"chr17",27045042,27045302,9.718e-18,6,4.58e-20,6.282e-17
"chr10",22634037,22634226,1.349e-24,7,1.672e-25,3.154e-22
"chr11",2019435,2020560,3.114e-36,36,8.524e-56,2.702e-53
"chr1",54821852,54822298,1.339e-09,6,2.785e-21,2.227e-18
"chr19",11529946,11530065,2.256e-15,5,4.898e-21,1.468e-17
"chr3",181428376,181428697,1.677e-25,9,1.456e-30,1.617e-27
