"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr17",18162180,18162372,4.957e-10,6,1.602e-18,2.975e-15
"chr20",13976092,13976126,1.55e-07,5,2.878e-10,3.019e-06
"chr1",204183336,204183581,2.364e-05,5,2.488e-10,3.622e-07
"chr13",113776914,113777160,1.543e-06,8,6.424e-11,9.312e-08
"chr6",33160066,33160318,8.823e-11,12,1.138e-14,1.618e-11
"chr2",61372057,61372165,1.15e-08,5,1.898e-10,6.266e-07
"chr6",26044203,26044405,1.027e-07,5,4.342e-09,7.664e-06
"chr14",85996201,85996393,1.88e-11,7,1.148e-15,2.062e-12
"chr3",49044398,49044551,1.499e-08,5,5.419e-12,1.263e-08
"chr12",57588143,57588243,6.98e-09,6,3.032e-11,1.081e-07
"chr6",32935842,32935917,1.712e-12,5,8.298e-11,3.945e-07
"chr19",38747233,38747378,2.667e-11,6,1.255e-14,3.085e-11
"chr7",143599183,143599409,1.017e-12,6,1.094e-17,1.727e-14
"chr20",13200972,13201353,7.273e-09,8,8.469e-19,7.927e-16
"chr7",150755416,150755571,2.945e-13,6,2.196e-17,5.053e-14
"chr11",15136344,15136505,4.391e-09,5,2.003e-16,4.918e-13
"chr22",44287771,44287958,7.597e-11,6,2.563e-13,4.886e-10
"chr6",33168278,33168462,2.775e-14,6,1.863e-17,3.611e-14
"chr12",108908719,108908922,5.619e-11,6,2.961e-14,5.207e-11
"chr3",52312571,52312684,3.316e-09,5,1.217e-13,3.84e-10
"chr5",159435960,159436125,8.717e-13,5,3.938e-20,8.511e-17
"chr20",30865318,30865502,2.845e-09,5,4.911e-16,8.606e-13
"chr17",41924465,41924577,6.016e-08,6,1.015e-09,3.232e-06
"chr1",17846707,17846815,4.321e-05,5,2.314e-07,0.0007637
"chr1",25257504,25257629,3.459e-11,9,2.43e-12,6.933e-09
"chr11",65816462,65816819,0.000112,6,2.771e-12,2.768e-09
"chr5",112042850,112043194,3.664e-17,10,2.384e-21,2.472e-18
"chr1",84326461,84326767,2.44e-07,6,1.297e-14,1.514e-11
"chr2",10442816,10442953,1.531e-08,5,3.061e-13,7.967e-10
"chr20",44600908,44600978,1.64e-17,6,3.064e-22,1.561e-18
"chr2",85581504,85581729,3.436e-11,6,2.918e-15,4.575e-12
"chr6",33281767,33282016,1.401e-11,7,3.477e-19,4.98e-16
"chr4",175750509,175750666,4.655e-09,5,3.814e-14,8.675e-11
"chr11",441982,442189,9.437e-07,5,2.089e-14,3.596e-11
"chr10",127464439,127464573,4.002e-09,5,3.25e-12,8.65e-09
"chr4",4859934,4860082,6.921e-11,8,5.515e-13,1.329e-09
"chr6",32134853,32135396,1.845e-09,17,2.889e-16,2.187e-13
"chr19",49402006,49402111,2.142e-07,6,3.601e-09,1.223e-05
"chr5",71014735,71014918,3.286e-09,7,4.477e-10,8.725e-07
"chr7",94537715,94537893,1.64e-17,8,3.985e-15,8.007e-12
"chr19",52956621,52956832,5.113e-09,8,9.061e-12,1.531e-08
"chr3",122296368,122296613,1.102e-14,6,7.382e-18,1.075e-14
"chr20",43729807,43729910,5.296e-06,6,3.377e-08,0.0001169
"chr6",27839849,27840257,1.738e-10,6,1.785e-17,1.56e-14
"chr14",101531754,101531905,4.832e-10,5,8.98e-12,2.121e-08
"chr6",133562086,133562494,1.311e-09,12,9.433e-15,8.248e-12
"chr4",113739183,113739379,8.617e-11,6,1.722e-17,3.132e-14
"chr1",50489566,50489827,7.87e-10,10,2.417e-16,3.034e-13
"chr10",104178865,104179035,4.753e-13,6,7.716e-17,2.329e-13
"chr1",44115616,44115813,1.785e-10,6,2.57e-17,4.652e-14
"chr5",138211042,138211184,6.617e-06,6,2.659e-08,6.678e-05
"chr6",31829839,31829960,5.325e-06,6,5.365e-08,0.0001581
"chr6",33132610,33132693,1.633e-07,5,2.897e-09,1.245e-05
"chr20",44509619,44509853,3.607e-17,8,4.69e-19,7.148e-16
"chr11",2721350,2722086,4.084e-06,23,3.71e-16,1.614e-13
"chr19",8428849,8429166,1.042e-08,5,6.937e-18,7.803e-15
"chr19",15375282,15375450,4.623e-10,8,9.16e-14,1.944e-10
