"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr18",21718734,21718979,2.467e-21,10,5.138e-24,7.478e-21
"chr6",31380487,31380600,5.622e-18,5,3.168e-18,9.996e-15
"chr5",63257709,63257941,2.256e-18,8,3.176e-23,4.881e-20
"chr17",46608267,46608570,1.176e-20,9,1.77e-27,2.084e-24
"chr8",72756811,72757004,8.001e-18,7,1.847e-20,3.413e-17
"chr16",51185038,51185236,2.043e-12,6,3.778e-15,6.798e-12
"chr8",39172019,39172120,3.803e-06,6,1.505e-09,5.313e-06
"chr11",2951167,2951353,7.05e-12,7,4.836e-14,9.28e-11
"chr3",44754071,44754201,1.253e-09,6,3.052e-11,8.372e-08
"chr6",31502385,31502521,8.117e-16,6,1.613e-18,4.229e-15
"chr16",85519060,85519308,3.484e-13,5,9.682e-16,1.437e-12
"chr6",32939136,32939317,1.063e-12,6,5.612e-16,1.094e-12
"chr4",47839875,47840136,6.628e-09,5,1.646e-15,2.275e-12
"chr22",45680757,45681036,4.624e-11,5,4.729e-21,6.044e-18
"chr19",58220515,58220837,1.027e-07,7,6.669e-12,7.385e-09
"chr5",50678711,50678928,3.866e-15,6,2.188e-23,3.595e-20
"chr13",103532259,103532435,4.676e-23,6,3.125e-29,6.332e-26
"chr1",28559460,28559620,1.914e-19,6,2.777e-21,6.189e-18
"chr6",31409504,31409757,2.25e-11,7,2.613e-17,3.682e-14
"chr20",30028205,30028292,1.246e-05,5,1.172e-07,0.0004804
"chr17",41561299,41561480,8.09e-15,6,6.016e-16,1.094e-12
"chr6",32134853,32135396,1.037e-25,19,1.303e-38,8.557e-36
"chr1",166958220,166958439,2.12e-15,7,1.251e-18,2.037e-15
"chr12",123464510,123464823,2.982e-17,5,8.797e-27,1.002e-23
"chr2",73114255,73114426,1.555e-20,7,3.976e-25,8.292e-22
"chr15",93616893,93617080,4.515e-21,8,6.446e-23,1.229e-19
"chr17",27045042,27045302,2.031e-09,6,4.657e-12,6.388e-09
"chr20",25128680,25128807,2.753e-12,6,1.137e-18,3.193e-15
"chr1",54821852,54822103,2.33e-05,5,5.443e-11,7.732e-08
"chr4",154073370,154073709,3.176e-08,5,9.071e-18,9.542e-15
"chr20",42142416,42143211,6.672e-15,23,4.025e-26,1.805e-23
"chr2",202483867,202484156,2.929e-08,5,1.562e-13,1.927e-10
"chr12",72233239,72233372,1.524e-12,6,5.036e-17,1.35e-13
"chr17",47492395,47492548,1.687e-19,6,2.072e-26,4.83e-23
"chr6",33386396,33386556,1.969e-16,5,7.258e-19,1.618e-15
"chr7",120968876,120969174,1.997e-08,8,3.272e-16,3.986e-13
"chr20",54967329,54967512,2.721e-15,5,3.525e-30,6.869e-27
"chr1",85040133,85040343,7.716e-15,8,6.249e-23,1.061e-19
"chr6",32808595,32808752,3.641e-08,5,2.674e-10,6.074e-07
"chr5",140346105,140346293,2.48e-15,5,3.627e-18,6.88e-15
"chr20",48428996,48429238,1.33e-17,7,2.482e-17,3.658e-14
"chr10",18629496,18629677,1.521e-06,5,6.409e-11,1.263e-07
"chr10",128994431,128994702,4.034e-16,5,2.552e-21,3.358e-18
"chr6",117802587,117802786,3.292e-06,5,2.027e-10,3.633e-07
"chr11",72504856,72504909,1.69e-16,5,1.313e-19,8.832e-16
"chr1",75139346,75139583,4.56e-08,7,7.477e-16,1.169e-12
"chr7",94285269,94286669,6.771e-21,52,9.821e-46,2.501e-43
"chr12",122712074,122712212,1.277e-06,6,3.298e-09,8.521e-06
"chr6",111279492,111279922,2.992e-17,12,3.503e-21,2.905e-18
"chr17",48711901,48712219,8.788e-15,5,1.141e-20,1.279e-17
"chr4",4859934,4860082,1.463e-19,8,7.843e-21,1.89e-17
"chr6",33395289,33395495,7.717e-13,6,1.029e-17,1.782e-14
"chr11",368350,369192,1.607e-11,23,1.514e-24,6.41e-22
"chr12",56390797,56391077,2.566e-16,10,6.165e-25,7.851e-22
"chr1",113249941,113250088,1.576e-15,5,2.83e-22,6.866e-19
"chr4",8582170,8582300,2.761e-07,5,1.063e-10,2.916e-07
"chr6",87646875,87647154,2.55e-14,8,2.807e-21,3.588e-18
"chr11",86383695,86383940,7.057e-10,7,5.794e-12,8.433e-09
"chr6",24911192,24911334,1.791e-11,6,2.844e-19,7.142e-16
"chr1",25292017,25292274,2.147e-07,7,3.906e-13,5.419e-10
"chr14",106938288,106938509,3.023e-18,6,2.6e-24,4.195e-21
"chr6",31938860,31939322,7.722e-13,13,2.312e-21,1.785e-18
"chr6",30180687,30180820,4.549e-18,6,4.141e-19,1.11e-15
"chr6",146919931,146920295,2.097e-12,8,7.16e-20,7.014e-17
"chr6",30431658,30431860,3.062e-19,6,9.323e-19,1.646e-15
"chr3",182970674,182970903,8.43e-16,7,6.527e-20,1.016e-16
"chr6",133562086,133562494,2.039e-15,12,1.798e-21,1.572e-18
"chr5",68710807,68710912,2.59e-09,6,3.029e-15,1.018e-11
"chr11",26353604,26353811,2.677e-18,6,4.542e-26,7.825e-23
"chr6",32115963,32116112,7.86e-08,6,1.584e-12,3.79e-09
"chr8",91803656,91803805,1.606e-11,5,8.256e-19,1.976e-15
"chr15",91473058,91473511,8.518e-10,7,1.821e-17,1.433e-14
"chr4",84030974,84031145,2.806e-22,5,3.646e-27,7.603e-24
"chr3",47324471,47324572,8.728e-23,5,5.106e-25,1.803e-21
"chr6",31838412,31838724,1.396e-11,10,1.117e-15,1.269e-12
"chr1",6526308,6526583,9.978e-10,5,5.31e-13,6.886e-10
"chr17",46622490,46622607,1.149e-05,5,3.344e-07,0.001019
"chr10",4230412,4230752,2.14e-07,5,8.093e-14,8.489e-11
"chr6",33267504,33267781,4.011e-23,12,6.7e-26,8.626e-23
"chr6",32156070,32156527,1.687e-07,5,6.533e-17,8.66e-14
"chr6",29342521,29342706,7.77e-14,5,1.816e-17,3.501e-14
"chr2",677533,677591,1.295e-11,5,2.962e-14,1.823e-10
"chr19",57630523,57630742,3.094e-07,9,7.528e-10,1.226e-06
"chr7",130131479,130131923,3.791e-14,17,6.502e-20,5.222e-17
"chr6",33284346,33284542,5.043e-13,7,2.618e-13,4.763e-10
"chr6",32862030,32862734,1.914e-30,21,1.248e-47,6.321e-45
"chr21",36041333,36041699,6.718e-19,6,6.775e-25,6.601e-22
"chr7",99691603,99691734,6.583e-22,6,1.387e-23,3.776e-20
"chr6",28834479,28834520,1.34e-17,5,8.039e-21,6.992e-17
"chr19",52956621,52956832,2.194e-16,8,1.226e-19,2.072e-16
"chr3",192445499,192445594,3.769e-16,6,3.573e-14,1.342e-10
"chr7",27225221,27225865,5.065e-13,14,5.221e-24,2.891e-21
"chr15",81426346,81426610,2.918e-08,8,1.12e-11,1.513e-08
"chr5",34042975,34043509,1.544e-06,7,4.587e-15,3.04e-12
"chr7",27183642,27184521,1.144e-12,28,5.521e-20,2.24e-17
"chr7",99517191,99517378,2.596e-12,8,2.529e-20,4.823e-17
"chr11",2398335,2398505,1.327e-14,6,1.221e-21,2.561e-18
"chr20",55841868,55841906,8.04e-17,6,5.929e-20,5.564e-16
"chr13",51417922,51418092,1.274e-07,7,4.352e-10,9.129e-07
"chr1",94344259,94344710,7.117e-11,6,1.332e-21,1.053e-18
"chr6",32809265,32809494,8.185e-16,8,1.891e-17,2.945e-14
"chr11",2922761,2922852,8.214e-17,5,2.655e-15,1.044e-11
"chr13",78493919,78494067,2.155e-10,5,9.633e-14,2.322e-10
"chr13",48877590,48877719,1.539e-24,6,4.267e-28,1.18e-24
"chr6",32063393,32064258,8.299e-15,28,2.566e-24,1.058e-21
"chr7",43909258,43909462,1.796e-16,5,9.734e-22,1.702e-18
"chr5",150284415,150284600,4.393e-08,6,5.825e-11,1.123e-07
"chr7",93520171,93520452,1.409e-21,10,7.02e-25,8.909e-22
"chr10",49892828,49893026,1.296e-08,7,2.219e-11,3.996e-08
"chr20",2844658,2844713,4.374e-21,5,8.586e-25,5.567e-21
"chr8",117778487,117778786,2.396e-14,5,1.999e-19,2.384e-16
"chr6",32118203,32118457,1.567e-08,14,1.892e-12,2.656e-09
"chr17",74075091,74075336,5.06e-09,5,4.34e-16,6.464e-13
"chr11",123986025,123986166,4.675e-24,8,8.794e-25,2.224e-21
"chr5",140700258,140700676,1.34e-17,10,3.251e-24,2.774e-21
"chr10",126150217,126150316,5.066e-21,5,4.639e-22,1.671e-18
"chr10",102893924,102894227,2.019e-07,5,3.38e-16,3.92e-13
"chr19",46142573,46142711,5.495e-15,5,4.852e-20,1.254e-16
"chr3",49044373,49044551,8.015e-14,6,8.098e-20,1.622e-16
"chr2",84743444,84743573,7.377e-12,5,2.465e-17,6.815e-14
"chr6",46138724,46139019,4.963e-24,9,1.861e-25,2.25e-22
"chr2",27531123,27531360,2.559e-18,8,1.453e-17,2.186e-14
"chr3",46875703,46875903,5.796e-11,8,3.522e-17,6.28e-14
"chr2",47382286,47382593,1.961e-05,5,5.55e-13,6.447e-10
"chr7",4832111,4832535,7.626e-05,5,1.808e-12,1.521e-09
"chr6",10419834,10420079,8.547e-16,6,3.606e-23,5.249e-20
"chr8",27695475,27695695,3.084e-10,6,6.69e-14,1.085e-10
"chr2",10861363,10861602,1.239e-12,5,5.965e-21,8.901e-18
"chr3",185000585,185000824,6.393e-13,5,9.244e-18,1.379e-14
"chr10",90343165,90343435,2.537e-23,7,7.215e-26,9.529e-23
"chr20",61809715,61809932,5.825e-18,8,1.894e-22,3.113e-19
"chr20",30407051,30407261,3.414e-12,5,3.306e-14,5.618e-11
"chr17",6947287,6947464,6.967e-12,7,8.51e-10,1.715e-06
"chr6",33132610,33132705,1.747e-17,6,4.512e-19,1.694e-15
"chr1",115397373,115397616,2.186e-09,5,5.476e-14,8.032e-11
"chr7",150745472,150745709,4.799e-07,6,6.439e-11,9.689e-08
"chr11",790141,790193,1.341e-10,5,3.567e-13,2.446e-09
"chr1",2458225,2458298,7.503e-15,5,9.136e-18,4.463e-14
"chr13",33002359,33002597,4.779e-11,6,2.054e-14,3.077e-11
"chr6",155537900,155538055,4.918e-06,6,9.339e-11,2.149e-07
"chr6",13924354,13924570,1.772e-06,5,5.264e-11,8.69e-08
"chr6",32064490,32065043,1.052e-17,25,1.687e-27,1.088e-24
"chr15",79298603,79298691,1.24e-23,5,4.925e-26,1.996e-22
"chr6",30227882,30228254,9.04e-24,14,3.346e-23,3.207e-20
"chr19",33622855,33623091,1.709e-24,9,1.378e-26,2.082e-23
"chr1",178062685,178062853,9.901e-20,5,1.666e-25,3.537e-22
"chr13",113698930,113699016,1.844e-13,6,5.323e-15,2.21e-11
"chr1",43751362,43751563,7.605e-16,7,2.426e-17,4.304e-14
"chr17",37764117,37764293,1.728e-21,7,2.378e-25,4.818e-22
"chr14",50154982,50155118,1.224e-22,6,2.108e-22,5.526e-19
