"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr15",79298603,79298691,1.713e-10,5,8.02e-13,3.25e-09
"chr3",129147229,129147642,1.186e-06,6,2.016e-13,1.741e-10
"chr7",94023742,94023988,8.317e-11,7,3.077e-15,4.506e-12
"chr6",111279551,111279922,1.222e-09,10,5.614e-14,5.4e-11
"chr2",84743444,84743573,1.862e-07,5,3.747e-12,1.036e-08
"chr6",33395289,33395495,5.332e-07,6,3.332e-11,5.768e-08
"chr4",4859934,4860082,7.134e-11,8,6.225e-13,1.5e-09
"chr6",32064490,32065028,8.368e-12,22,2.987e-17,1.98e-14
"chr11",107328524,107328671,3.6e-12,6,4.045e-12,9.813e-09
"chr17",46608267,46608345,6.714e-09,6,1.394e-11,6.372e-08
"chr1",85040133,85040343,1.346e-08,8,4.857e-15,8.295e-12
"chr6",30523241,30523449,8.236e-15,8,3.245e-18,5.563e-15
"chr4",4860430,4860617,9.233e-06,7,6.73e-10,1.283e-06
"chr6",32809316,32809494,1.696e-08,7,2.822e-11,5.653e-08
"chr4",40058920,40059040,1.037e-10,5,1.385e-12,4.115e-09
"chr10",128994431,128994702,2.382e-10,5,1.237e-15,1.607e-12
"chr3",49044398,49044551,1.566e-08,5,5.97e-12,1.392e-08
"chr6",32064145,32064258,4.523e-10,10,1.501e-11,4.736e-08
"chr6",133562086,133562494,1.357e-09,12,1.141e-14,9.995e-12
"chr7",130132198,130132422,1.208e-07,11,4.416e-10,7.03e-07
"chr5",148758790,148759040,9.692e-08,5,2.012e-13,2.871e-10
"chr7",27183945,27184188,4.411e-08,14,2.893e-10,4.246e-07
"chr1",179847084,179847162,9.294e-14,5,1.975e-16,1.015e-12
"chr7",99691603,99691734,3.045e-13,6,9.289e-16,2.418e-12
"chr5",63257709,63257941,8.131e-11,8,3.684e-15,5.631e-12
"chr6",10419834,10420079,4.984e-10,6,9.704e-16,1.454e-12
"chr11",28129558,28129852,5.357e-14,7,1.083e-21,1.313e-18
"chr14",50154982,50155118,2.408e-14,6,1.724e-15,4.658e-12
"chr8",72756811,72757004,1.501e-10,7,2.887e-13,5.333e-10
"chr20",25128680,25128807,2.433e-09,6,1.212e-14,3.398e-11
"chr7",93205125,93205295,5.63e-06,8,4.71e-10,9.88e-07
"chr2",10861363,10861602,3.85e-07,5,1.082e-13,1.613e-10
"chr6",31409571,31409706,2.256e-06,5,2.378e-10,6.282e-07
"chr11",368899,369192,1.087e-06,10,2.69e-11,3.274e-08
"chr7",93520171,93520346,6.827e-14,8,1.524e-18,3.106e-15
"chr6",31627082,31627273,6.455e-08,6,4.994e-15,9.328e-12
"chr1",2458225,2458298,1.213e-08,5,1.514e-11,7.397e-08
"chr18",60986585,60986770,5.055e-10,6,1.347e-13,2.596e-10
"chr6",32862030,32862734,2.412e-20,21,5.642e-34,2.858e-31
"chr6",87646921,87647154,1.06e-08,7,2.923e-16,5.097e-13
"chr21",42219138,42219221,1.395e-06,5,5.997e-09,2.576e-05
"chr11",72504856,72504909,2.225e-10,5,1.361e-13,9.158e-10
"chr2",56410070,56410300,3.42e-09,7,1.104e-12,1.712e-09
"chr14",106938288,106938509,1.553e-12,6,3.82e-19,6.163e-16
"chr19",33622855,33622961,8.576e-11,7,1.449e-11,4.873e-08
"chr20",2844658,2844713,1.787e-08,5,2.35e-11,1.523e-07
"chr6",30180687,30180820,2.537e-12,6,2.767e-14,7.412e-11
"chr5",140700258,140700676,3.385e-10,10,1.109e-15,9.471e-13
"chr6",33386396,33386556,2.922e-09,5,1.389e-11,3.096e-08
"chr20",61809715,61809932,7.35e-11,8,1.644e-14,2.7e-11
"chr6",146919982,146920166,4.801e-06,6,6.1e-11,1.182e-07
"chr6",31621140,31621299,0.0001199,6,4.917e-08,0.0001103
"chr4",89444988,89445097,4.141e-11,5,1.702e-12,5.569e-09
"chr5",169532685,169532758,2.42e-08,5,7.761e-11,3.791e-07
"chr3",46506373,46506554,2.736e-08,7,5.812e-13,1.145e-09
"chr11",2398335,2398505,1.21e-08,6,6.152e-14,1.29e-10
"chr11",44332684,44333192,6.013e-13,17,3.615e-20,2.538e-17
"chr11",75141721,75141846,1.548e-05,5,1.776e-10,5.065e-07
"chr6",32134853,32135396,1.978e-09,17,4.396e-16,2.917e-13
"chr6",31838412,31838724,7.544e-07,9,4.037e-11,4.614e-08
"chr6",24911192,24911334,2.828e-07,6,4.034e-13,1.013e-09
"chr15",63674107,63674276,6.072e-13,5,9.129e-15,1.921e-11
"chr6",28834479,28834520,3.352e-11,5,1.437e-14,1.246e-10
"chr1",2125048,2125186,1.687e-10,6,3.485e-13,9.005e-10
"chr6",30431658,30431782,3.454e-12,5,1.476e-12,4.244e-09
"chr18",21718734,21718979,1.614e-12,10,1.052e-15,1.454e-12
"chr2",73114255,73114426,2.547e-13,7,8.343e-18,1.74e-14
"chr13",74708037,74708194,3.551e-13,5,2.52e-16,5.044e-13
"chr11",790141,790193,1.549e-05,5,4.414e-08,0.0003026
"chr12",54071089,54071194,1.248e-08,5,2.077e-11,7.055e-08
"chr1",178062685,178062853,1.033e-12,5,4.874e-18,1.035e-14
"chr6",28304074,28304249,3.872e-14,8,1.461e-18,2.978e-15
"chr6",28921287,28921499,1.1e-07,5,7.159e-12,1.204e-08
"chr2",677533,677591,1.356e-06,5,3.023e-09,1.859e-05
"chr1",119532055,119532195,9.883e-05,5,3.156e-10,8.04e-07
"chr5",134735543,134735675,4.668e-08,6,7.579e-10,2.047e-06
"chr17",47492395,47492548,9.747e-13,6,1.515e-18,3.53e-15
"chr13",103532259,103532435,1.065e-11,6,1.069e-14,2.16e-11
"chr7",27187371,27187560,1.244e-05,5,3.28e-11,6.189e-08
"chr1",28559460,28559620,2.842e-12,6,2.891e-14,6.434e-11
"chr6",33084548,33084933,3.69e-06,14,3.036e-11,2.812e-08
"chr10",90343165,90343285,8.173e-15,6,4.853e-17,1.442e-13
"chr6",33132610,33132693,1.82e-07,5,3.012e-09,1.294e-05
"chr4",84030974,84031145,6.629e-15,5,6.767e-20,1.411e-16
"chr10",13043877,13043986,5.545e-13,6,2.231e-12,7.3e-09
"chr7",27225221,27225543,1.194e-06,9,1.732e-13,1.918e-10
"chr6",31502385,31502521,6.088e-08,6,8.538e-12,2.239e-08
"chr1",166958220,166958322,1.222e-07,5,4.477e-09,1.565e-05
"chr8",91803656,91803805,1.618e-06,5,3.98e-12,9.525e-09
"chr20",54967329,54967512,1.282e-10,5,2.494e-22,4.861e-19
"chr15",74421847,74421935,6.417e-11,6,2.412e-12,9.775e-09
"chr6",5261365,5261560,4.779e-13,5,2.797e-16,6.091e-13
"chr11",368383,368683,1.669e-05,7,3.959e-09,4.706e-06
"chr13",52419264,52419383,3.379e-09,5,5.131e-11,1.538e-07
"chr3",46875703,46875903,0.0004245,8,2.915e-08,5.197e-05
"chr2",7005727,7006004,4.683e-08,7,1.634e-14,2.101e-11
"chr12",56390797,56391077,1.505e-08,10,1.267e-15,1.555e-12
"chr7",130131479,130131923,4.735e-06,13,2.993e-10,2.404e-07
"chr6",30688800,30688882,1.109e-08,5,9.368e-08,0.0004073
"chr2",27531169,27531360,2.429e-05,5,6.094e-09,1.138e-05
"chr2",239140168,239140369,1.456e-05,6,8.214e-11,1.457e-07
"chr11",2951242,2951353,5.215e-07,5,1.293e-08,4.155e-05
"chr6",33267565,33267781,9.223e-15,10,6.09e-20,1.005e-16
"chr10",126150217,126150316,1.931e-13,5,1.644e-15,5.999e-12
"chr11",2922634,2922833,8.182e-05,5,2.441e-09,4.375e-06
"chr14",96670861,96671169,7.351e-10,8,8.325e-16,8.998e-13
"chr21",36041526,36041699,4.336e-12,5,2.414e-15,5.035e-12
"chr7",99517191,99517378,1.465e-06,8,3.88e-13,7.399e-10
"chr6",32137060,32137210,4.263e-10,6,2.17e-11,5.158e-08
"chr17",37764117,37764293,3.351e-13,7,4.479e-17,9.075e-14
"chr6",46138724,46139019,1.497e-15,9,4.596e-18,5.556e-15
"chr5",68710807,68710912,4.307e-05,6,1.926e-09,6.542e-06
"chr13",113698930,113699016,4.001e-09,6,3.016e-11,1.251e-07
"chr1",93645672,93646016,1.449e-06,5,5.841e-14,6.054e-11
"chr11",26353604,26353811,4.7e-12,6,1.736e-18,2.99e-15
"chr6",30227882,30228101,1.502e-14,10,1.408e-15,2.35e-12
