"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr19",44124047,44124175,2.239e-09,5,6.336e-13,1.765e-09
"chr11",123986025,123986166,2.081e-08,8,1.727e-11,4.369e-08
"chr12",76742284,76742363,2.796e-10,5,2.007e-14,9.071e-11
"chr6",32064145,32064258,3.978e-07,10,1.045e-09,3.297e-06
"chr11",31837103,31837250,4.577e-05,5,1.57e-10,3.809e-07
"chr6",30585058,30585191,1.973e-08,5,9.603e-12,2.575e-08
"chr6",160389791,160389851,0.0004687,5,5.16e-07,0.003062
"chr1",24645801,24645917,1.719e-06,6,3.021e-09,9.286e-06
"chr6",28602583,28602791,0.0001173,7,2.488e-09,4.265e-06
"chr1",44884095,44884204,1.939e-05,5,5.588e-08,0.0001828
"chr6",41747731,41747801,1.224e-05,5,6.038e-09,3.076e-05
"chr17",72931787,72931903,0.0001004,6,1.615e-07,0.0004964
"chr6",32135284,32135384,4.493e-05,6,9.812e-08,0.0003498
"chr2",73114280,73114426,6.039e-07,6,1.024e-10,2.5e-07
"chr6",28956258,28956403,8.881e-06,9,1.67e-07,0.0004106
"chr3",50388468,50388670,3.053e-07,6,3.72e-14,6.566e-11
"chr11",6341841,6341908,0.000684,5,7.94e-07,0.004217
"chr12",3862416,3862497,2.982e-05,6,4.073e-08,0.0001793
"chr6",28834479,28834520,6.638e-06,5,2.755e-09,2.396e-05
"chr11",28129652,28129805,7.861e-08,5,1.468e-10,3.422e-07
"chr11",67007583,67007855,5.518e-06,8,4.85e-13,6.359e-10
"chr8",122651485,122651575,9.048e-07,5,7.098e-10,2.812e-06
"chr6",31696228,31696319,2.078e-05,7,5.323e-07,0.002084
"chr6",31587792,31587821,0.0001903,6,2.546e-07,0.003126
"chr6",32812220,32812518,1.383e-07,9,7.235e-15,8.636e-12
"chr15",93616893,93617134,8.402e-09,9,7.043e-12,1.042e-08
"chr6",31940409,31940522,1.775e-08,5,3.23e-12,1.019e-08
"chr8",144635259,144635547,3.099e-07,8,1.391e-12,1.723e-09
"chr17",36981594,36981749,9.197e-05,5,6.818e-11,1.569e-07
"chr2",74685464,74685602,2.966e-08,6,3.744e-12,9.674e-09
"chr11",14995230,14995322,3.479e-06,5,4.346e-09,1.685e-05
"chr5",135364551,135364580,1.327e-06,5,2.978e-10,3.661e-06
"chr3",196014744,196014846,1.255e-06,5,1.027e-09,3.592e-06
"chr6",33281767,33281972,2.542e-06,6,3.773e-14,6.566e-11
"chr6",29944979,29945099,6.408e-07,8,1.204e-09,3.579e-06
"chr6",28891881,28892012,1.655e-10,7,5.24e-14,1.426e-10
"chr17",49230755,49230881,2.239e-09,6,8.427e-13,2.385e-09
