"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr20",30135107,30135177,1.353e-05,6,3.924e-08,0.0001999
"chr2",176046456,176046632,4.711e-13,5,3.014e-16,6.748e-13
"chr2",85581504,85581729,3.458e-11,6,2.65e-15,4.223e-12
"chr11",12398873,12399109,4.769e-08,6,6.888e-13,1.041e-09
"chr5",170736179,170736277,1.179e-08,5,7.658e-11,2.787e-07
"chr7",149569945,149570183,0.0001214,6,2.283e-08,3.42e-05
"chr5",169659744,169659863,7.131e-10,6,6.934e-13,2.078e-09
"chr11",118972878,118973022,5.382e-09,5,1.377e-15,3.299e-12
"chr21",38070523,38070671,3.193e-06,5,6.249e-11,1.506e-07
"chr20",61809715,61809932,8.225e-11,8,1.333e-14,2.189e-11
"chr19",44324855,44324951,9.317e-06,6,5.98e-08,0.0002221
"chr10",27703288,27703377,3.773e-06,5,4.449e-08,0.0001783
"chr6",31852239,31852453,8.17e-14,8,8.87e-24,1.478e-20
"chr6",33267565,33267781,1.58e-14,10,5.042e-20,8.325e-17
"chr17",18163715,18163865,2.76e-12,5,3.058e-16,7.918e-13
"chr11",87908557,87908938,6.881e-05,8,2.018e-12,1.889e-09
"chr22",24979568,24979660,2.009e-10,5,9.753e-13,3.78e-09
"chr15",93616893,93617065,4.362e-13,7,1.18e-17,2.447e-14
"chr3",192445499,192445594,1.041e-09,6,1.433e-09,5.379e-06
"chr10",134599782,134599860,3.653e-10,5,6.922e-13,3.165e-09
"chr1",113249941,113250088,1.197e-10,5,1.687e-16,5.387e-13
"chr4",124317778,124317966,2.526e-12,7,2.573e-12,4.881e-09
"chr13",48877590,48877719,1.721e-16,6,9.229e-21,2.551e-17
"chr5",171881545,171881583,9.05e-06,5,2.509e-08,0.0002355
"chr11",28129558,28129852,7.596e-14,7,6.869e-22,8.331e-19
"chr18",44236846,44237087,3.185e-06,6,3.577e-10,5.293e-07
"chr19",58570418,58570491,0.0003779,6,1.502e-06,0.007312
"chr4",5890288,5890430,4.641e-14,7,7.403e-18,1.859e-14
"chr2",63815917,63816096,1.203e-12,5,5.251e-17,1.046e-13
"chr6",33385235,33385582,2.529e-14,11,2.825e-21,2.903e-18
"chr6",30619079,30619242,1.861e-11,10,6.236e-14,1.365e-10
"chr19",2236342,2236503,7.998e-12,5,9.043e-19,2.003e-15
