"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr20",62168669,62168878,2.682e-14,7,4.401e-13,7.509e-10
"chr6",29581053,29581182,2.113e-12,5,3.819e-14,1.056e-10
"chr22",42296818,42296941,1.532e-20,5,8.049e-21,2.334e-17
"chr8",122651485,122651575,7.338e-21,5,6.882e-23,2.727e-19
"chr6",31627082,31627313,4.415e-11,7,1.572e-15,2.399e-12
"chr1",231155631,231155818,1.226e-14,7,5.643e-13,1.076e-09
"chr11",73357018,73357276,1.777e-09,7,1.64e-14,2.271e-11
"chr1",44883989,44884264,5.609e-19,7,2.514e-24,3.26e-21
"chr6",31696062,31696519,1.118e-32,17,2.318e-34,1.809e-31
"chr11",123986025,123986166,1.894e-24,8,4.871e-25,1.232e-21
"chr14",102027659,102027797,1.384e-17,5,3.03e-19,7.829e-16
"chr17",42081809,42081955,1.169e-16,6,3.739e-18,9.133e-15
"chr17",6947287,6947464,7.006e-12,7,6.843e-10,1.379e-06
"chr8",132052701,132052942,6.688e-19,7,9.586e-24,1.418e-20
"chr6",43478454,43478530,4.542e-10,5,7.785e-12,3.653e-08
"chr19",57989026,57989182,7.585e-20,5,5.502e-22,1.258e-18
"chr6",32023245,32023332,3.72e-12,5,2.132e-13,8.742e-10
"chr22",24890689,24890833,1.036e-07,7,1.096e-11,2.714e-08
"chr19",11909182,11909408,1.069e-15,7,9.912e-13,1.564e-09
"chr8",108510095,108510343,7.557e-08,5,5.681e-12,8.169e-09
"chr7",114055073,114055210,4.153e-09,6,1.618e-11,4.211e-08
"chr6",30585022,30585191,3.454e-24,6,1.38e-28,2.912e-25
"chr2",176046456,176046632,2.127e-20,5,1.218e-23,2.467e-20
"chr3",53381804,53381977,6.391e-18,5,2.045e-24,4.216e-21
"chr8",117950243,117950504,2.896e-18,7,9.501e-21,1.298e-17
"chr17",11501502,11501663,6.745e-16,7,2.783e-20,6.164e-17
"chr6",29521012,29521272,1.125e-13,7,1.116e-16,1.523e-13
"chr16",90113892,90114200,4.457e-08,5,2.48e-14,2.866e-11
"chr17",17109639,17109817,6.378e-08,6,1.302e-10,2.608e-07
"chr6",8102918,8103092,2.851e-12,5,2.417e-15,5.006e-12
"chr19",52391233,52391411,6.236e-07,7,8.377e-09,1.678e-05
"chr11",278393,278538,1.618e-08,6,1.547e-12,3.806e-09
"chr6",30712281,30712499,3.305e-25,7,8.183e-21,1.339e-17
"chr2",73114255,73114426,1.529e-20,7,1.935e-25,4.036e-22
"chr17",46671130,46671332,5.05e-08,5,5.62e-19,9.922e-16
"chr5",19988591,19988848,5.71e-06,8,7.889e-11,1.095e-07
"chr11",10715444,10715767,5.095e-16,5,1.753e-25,1.935e-22
"chr3",160823230,160823392,3.093e-15,6,1.987e-18,4.375e-15
"chr11",89867636,89867976,9.208e-15,8,9.43e-22,9.89e-19
"chr17",26127437,26127542,1.824e-14,5,1.216e-15,4.148e-12
"chr11",19736149,19736333,1.076e-11,5,5.124e-20,9.931e-17
"chr18",44236846,44237093,2.075e-10,7,8.077e-14,1.167e-10
"chr3",196014710,196014846,6.042e-20,6,6.94e-18,1.82e-14
"chr7",30951271,30951498,1.972e-19,8,5.113e-23,8.032e-20
"chr3",148804977,148805294,1.993e-16,6,2.283e-33,2.568e-30
"chr11",117187001,117187223,7.861e-19,6,1.876e-24,3.013e-21
"chr21",45705617,45705742,1.084e-09,7,4.207e-11,1.2e-07
"chr6",32076078,32076337,4.773e-06,5,9.993e-11,1.376e-07
"chr2",201170789,201170828,2.959e-13,5,4.564e-16,4.061e-12
"chr20",61161999,61162112,2.328e-17,5,1.845e-18,5.822e-15
"chr6",30139420,30139641,1.715e-19,8,1.082e-16,1.792e-13
"chr5",71014735,71014918,2.618e-17,7,1.335e-17,2.601e-14
"chr14",101499892,101500125,4.908e-13,5,2.995e-17,4.584e-14
"chr8",144635259,144635610,7.845e-20,9,6.972e-30,7.083e-27
"chr7",94285269,94286669,6.583e-21,52,4.763e-48,1.213e-45
"chr10",105156203,105156444,1.626e-14,6,1.636e-19,2.42e-16
"chr19",46142573,46142711,5.434e-15,5,3.306e-20,8.543e-17
"chr3",48632567,48632892,3.024e-12,8,3.323e-17,3.646e-14
"chr1",116518909,116519214,7.431e-19,6,8.62e-23,1.008e-19
"chr12",81471648,81471884,2.772e-11,7,8.925e-20,1.349e-16
"chr7",27260101,27260466,1.053e-09,5,8.161e-21,7.973e-18
"chr12",110211320,110211413,5.592e-11,5,1.006e-12,3.858e-09
"chr10",54068371,54068594,7.737e-16,5,3.159e-24,5.052e-21
"chr11",6341716,6341908,1.626e-13,6,1.762e-18,3.273e-15
"chr1",27709633,27709791,7.937e-06,5,6.197e-11,1.399e-07
"chr6",33422867,33422952,0.0001633,6,1.617e-06,0.006762
"chr12",104697386,104697545,4.603e-06,7,6.753e-11,1.514e-07
"chr5",135364551,135364580,2.807e-20,5,7.243e-24,8.906e-20
"chr5",40841297,40841590,1.38e-07,5,1.286e-16,1.351e-13
"chr12",57984649,57984821,6.467e-19,5,4.752e-22,9.853e-19
"chr11",2721206,2722258,4.981e-13,29,1.355e-32,4.594e-30
"chr1",94344259,94344710,7.496e-11,6,5.534e-22,4.376e-19
"chr1",179847084,179847162,7.204e-21,5,6.508e-23,2.975e-19
"chr6",28891717,28892077,3.45e-29,10,1.311e-33,1.299e-30
"chr22",32341327,32341446,3.053e-20,5,3.51e-22,1.052e-18
"chr17",7758170,7758291,1.777e-09,5,7.394e-11,2.179e-07
"chr17",36981594,36981749,5.419e-14,5,2.398e-23,5.517e-20
"chr13",61989596,61989770,6.615e-13,5,7.512e-19,1.54e-15
"chr1",901684,901892,4.067e-16,5,1.789e-21,3.067e-18
"chr10",5406889,5407020,7.989e-12,7,2.061e-13,5.612e-10
"chr19",44123911,44124298,6.398e-25,8,1.141e-32,1.051e-29
"chr12",6961044,6961209,3.048e-21,5,2.398e-24,5.183e-21
"chr6",32164502,32164588,1.059e-13,6,9.528e-16,4.143e-12
"chr1",200841804,200842145,2.595e-22,5,9.876e-25,1.033e-21
"chr1",156261199,156261403,2.575e-08,5,2.2e-14,3.843e-11
"chr1",161008461,161008826,6.107e-12,7,4.055e-22,3.962e-19
"chr1",68512776,68513063,7.55e-06,6,2.881e-12,3.58e-09
"chr2",241497411,241497599,5.634e-07,6,3.625e-13,6.878e-10
"chr6",30689513,30689681,1.786e-14,5,4.811e-19,1.021e-15
"chr12",58146163,58146524,2.203e-12,6,8.707e-18,8.601e-15
"chr6",146919931,146920295,2.113e-12,8,3.189e-20,3.124e-17
"chr2",128458239,128458401,7.539e-11,5,3.227e-15,7.087e-12
"chr15",66994541,66994613,3.793e-09,5,1.172e-11,5.803e-08
"chr6",31549009,31549276,1.17e-19,9,1.677e-23,2.24e-20
