"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr6",30131213,30131719,5.336e-19,12,8.386e-20,5.91e-17
"chr20",33872553,33872806,5.272e-18,6,1.92e-26,2.707e-23
"chr20",57875317,57875545,9.369e-14,7,4.908e-23,7.676e-20
"chr17",73642485,73642628,7.004e-08,5,3.393e-10,8.461e-07
"chr6",29589894,29590017,2.542e-15,5,2.016e-16,6.437e-13
"chr6",32115963,32116112,9.558e-08,6,1.595e-12,3.817e-09
"chr7",143599077,143599409,3.101e-19,7,1.778e-26,1.91e-23
"chr20",61161999,61162112,3.951e-17,5,3.065e-18,9.671e-15
"chr6",30619046,30619242,2.156e-19,11,9.134e-19,1.662e-15
"chr6",31852239,31852453,1.614e-19,8,2.135e-30,3.557e-27
"chr21",42219138,42219221,1.797e-12,5,1.102e-14,4.722e-11
"chr6",134210137,134210307,1.458e-07,7,1.686e-12,3.538e-09
"chr6",31502385,31502521,1.055e-15,6,1.663e-18,4.361e-15
"chr12",132690642,132690782,9.932e-08,5,1.623e-09,4.135e-06
"chr1",200841804,200842145,3.333e-22,5,1.079e-24,1.128e-21
"chr10",133273946,133274319,3.761e-11,6,1.1e-20,1.051e-17
"chr19",8428849,8429166,4.317e-13,5,2.349e-25,2.643e-22
"chr2",241076188,241076777,1.095e-13,15,1.064e-24,6.443e-22
"chr10",93393027,93393238,3.949e-13,5,1.092e-19,1.846e-16
"chr3",182817337,182817626,2.037e-09,7,1.198e-15,1.507e-12
"chr10",120101659,120101904,7.791e-18,6,3.019e-26,4.394e-23
"chr19",58570418,58570491,3.527e-08,6,1.343e-10,6.561e-07
"chr6",28601311,28601477,0.0005207,5,8.837e-06,0.0188
"chr20",37075184,37075286,1.763e-18,5,2.41e-20,8.426e-17
"chr5",125931119,125931275,4.91e-14,5,4.37e-14,9.999e-11
"chr10",121356702,121356865,9.81e-22,5,4.043e-26,8.845e-23
"chr2",74685458,74685602,5.953e-23,7,2.914e-20,7.216e-17
"chr20",19866973,19867145,1.254e-06,5,1.051e-11,2.18e-08
"chr7",45961400,45961569,4.032e-19,8,4.408e-17,9.302e-14
"chr19",49402006,49402111,1.162e-17,6,9.5e-19,3.226e-15
"chr20",30135107,30135177,2.792e-12,6,5.901e-15,2.998e-11
"chr19",52004991,52005188,4.214e-13,5,6.405e-18,1.159e-14
"chr6",122931153,122931308,1.534e-26,8,3.089e-28,7.106e-25
"chr10",63809072,63809170,1.294e-06,6,1.571e-08,5.718e-05
"chr13",113633483,113633676,1.55e-08,5,2.754e-12,5.088e-09
"chr6",27839849,27840257,8.577e-16,6,2.241e-25,1.959e-22
"chr16",62070071,62070306,4.325e-15,8,3.637e-23,5.519e-20
"chr19",51220201,51220297,1.337e-12,5,4.086e-14,1.518e-10
"chr11",94278406,94278603,5.844e-06,7,6.556e-11,1.187e-07
"chr6",32363166,32363325,3.12e-09,5,4.503e-12,1.01e-08
"chr5",74162770,74162924,5.264e-10,5,2.749e-12,6.365e-09
"chr16",69141249,69141442,9.067e-11,5,6.382e-23,1.179e-19
"chr6",33160066,33160318,1.731e-18,12,2.296e-23,3.249e-20
"chr7",151722535,151722628,6.249e-23,5,3.856e-25,1.478e-21
"chr17",79283027,79283138,2.971e-15,5,2.338e-16,7.133e-13
"chr2",242127689,242127948,3.365e-07,5,1.056e-16,1.529e-13
"chr7",130130319,130130753,1.188e-05,8,2.423e-13,1.991e-10
"chr6",31746794,31747250,1.79e-17,18,5.644e-22,4.413e-19
"chr22",50585385,50585427,8.15e-08,5,3.3e-10,2.802e-06
"chr22",25595588,25595840,3.767e-09,6,5.309e-17,7.512e-14
"chr22",17489111,17489250,3.654e-24,6,3.709e-20,9.514e-17
"chr1",155290417,155290614,1.544e-13,6,8.834e-18,1.599e-14
"chr10",4230412,4230752,2.313e-07,5,5.559e-14,5.834e-11
"chr6",29975229,29975427,9.818e-09,6,9.212e-16,1.6e-12
"chr7",149569882,149570183,1.234e-10,9,7.562e-15,8.944e-12
"chr6",31105710,31106045,6.625e-10,8,1.12e-15,1.182e-12
"chr6",33359454,33359648,1.362e-13,5,1.837e-19,3.376e-16
"chr18",32556625,32556804,1.237e-15,5,2.321e-21,4.624e-18
"chr4",41867414,41867562,1.044e-13,5,3.895e-16,1.07e-12
"chr11",67205095,67205291,4.446e-10,5,3.653e-13,6.646e-10
"chr12",57940956,57941069,5.657e-17,5,3.911e-22,1.234e-18
"chr15",74218696,74218780,9.97e-06,6,8.031e-08,0.0003409
"chr3",196065105,196065506,1.666e-13,10,1.27e-20,1.129e-17
"chr5",115152325,115152431,4.19e-21,5,2.502e-22,8.418e-19
"chr6",28602542,28603292,3.273e-23,20,1.044e-34,4.963e-32
"chr20",61447267,61447929,6.898e-21,23,1.607e-28,8.658e-26
"chr22",44287771,44288155,5.727e-18,7,3.768e-22,3.499e-19
"chr17",41924398,41924577,2.576e-15,8,3.092e-17,6.16e-14
"chr6",31778621,31778842,7.5e-21,8,1.977e-20,3.189e-17
"chr7",5111487,5111641,2e-07,7,1.48e-08,3.426e-05
"chr8",11561497,11561593,6.269e-19,5,3.226e-19,1.198e-15
"chr4",111397133,111397401,7.069e-06,6,9.977e-11,1.328e-07
"chr20",62574022,62574273,5.605e-06,5,8.464e-11,1.202e-07
"chr6",31707452,31707803,3.632e-22,11,6.23e-27,6.33e-24
"chr11",64051698,64051814,6.08e-19,6,1.206e-20,3.708e-17
"chr7",30951271,30951498,3.753e-19,8,9.36e-23,1.47e-19
"chr10",134599782,134599860,4.183e-17,5,1.329e-19,6.076e-16
"chr7",1022470,1023066,2.389e-09,7,2.497e-16,1.329e-13
"chr22",24979553,24979755,6.158e-18,7,1.651e-16,1.96e-13
"chr7",4832111,4832535,7.841e-05,5,1.187e-12,9.98e-10
"chr6",32023245,32023332,4.821e-12,5,3.041e-13,1.246e-09
"chr3",156838095,156838403,3.055e-10,5,1.111e-19,1.286e-16
"chr5",140864275,140864834,1.291e-11,8,2.832e-26,1.807e-23
"chr6",32064145,32064218,3.284e-05,7,3.382e-06,0.01639
"chr19",38810161,38810284,3.959e-13,5,7.902e-15,2.285e-11
"chr19",11529946,11530065,9.284e-10,5,2.302e-14,6.887e-11
"chr2",63815862,63816096,2.001e-18,6,5.21e-20,7.939e-17
"chr11",113258209,113258455,5.769e-09,6,5.039e-15,7.242e-12
"chr17",46608267,46608570,2.574e-20,9,9.932e-28,1.169e-24
"chr11",28129558,28129852,6.342e-21,7,3.396e-30,4.119e-27
"chr6",33385235,33385582,7.666e-23,11,1.122e-30,1.153e-27
"chr11",790141,790193,1.728e-10,5,4.851e-13,3.326e-09
"chr6",33423974,33424213,6.131e-24,9,4.85e-32,7.236e-29
"chr19",2255418,2255496,5.667e-23,5,2.787e-25,1.274e-21
"chr11",2922761,2922852,1.224e-16,5,3.593e-15,1.392e-11
"chr3",49044373,49044551,9.872e-14,6,7.314e-20,1.465e-16
"chr15",93616893,93617080,9.245e-21,8,7.194e-23,1.372e-19
"chr8",99306715,99306870,1.658e-14,5,5.575e-19,1.283e-15
"chr6",31126837,31127379,3.453e-08,13,1.243e-18,8.176e-16
"chr6",151814891,151814994,1.289e-15,5,4.609e-16,1.538e-12
"chr11",62783360,62783573,1.129e-08,6,1.77e-13,2.963e-10
"chr6",31515281,31515404,5.441e-15,6,5.633e-24,1.633e-20
"chr6",31649334,31649638,1.847e-11,9,2.52e-18,2.956e-15
"chr12",58146163,58146524,2.406e-12,6,9.142e-18,9.03e-15
"chr12",54446252,54446576,1.001e-05,7,3.136e-10,3.452e-07
"chr1",244213357,244213618,5.387e-05,5,1.983e-12,2.71e-09
"chr2",176046456,176046632,3.294e-20,5,2.206e-23,4.469e-20
"chr10",49893335,49893463,2.495e-13,6,1.208e-13,3.365e-10
"chr20",61151390,61151480,4.823e-10,5,2.352e-11,9.32e-08
