"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr4",165878036,165878136,9.034e-09,5,2.844e-10,1.014e-06
"chr1",93645672,93646016,1.578e-16,5,1.272e-27,1.319e-24
"chr6",30523071,30523449,1.225e-29,10,7.615e-37,7.184e-34
"chr17",46669454,46669781,2.6e-08,7,3.386e-18,3.692e-15
"chr21",36041333,36041699,2.74e-25,6,1.481e-33,1.443e-30
"chr2",7005727,7006004,5.015e-20,7,6.063e-29,7.806e-26
"chr7",156741513,156741808,1.812e-05,5,2.683e-11,3.243e-08
"chr3",5024760,5024963,2.108e-32,5,1.387e-40,2.437e-37
"chr4",6695318,6695475,1.214e-11,5,3.869e-15,8.826e-12
"chr4",4860430,4860655,1.932e-18,8,1.73e-26,2.742e-23
"chr10",18629496,18629677,2.696e-13,5,3.73e-21,7.348e-18
"chr1",2125048,2125243,0,7,3.371e-33,6.165e-30
"chr12",122712074,122712381,2.15e-13,7,8.417e-21,9.777e-18
"chr13",78493919,78494171,2.495e-17,6,5.174e-22,7.322e-19
"chr6",31409504,31409757,1.193e-16,7,2.832e-25,3.991e-22
"chr19",41724897,41725332,2.696e-13,5,2.792e-22,2.288e-19
"chr17",7323539,7323730,3.492e-37,5,3.319e-33,6.197e-30
"chr6",31860643,31860763,3.523e-38,5,2.184e-37,6.49e-34
"chr6",87646875,87647154,1.148e-20,8,1.803e-28,2.305e-25
"chr8",101170018,101170202,1.247e-18,7,6.312e-20,1.223e-16
"chr21",42219138,42219299,3.139e-20,6,6.302e-23,1.396e-19
"chr6",30853947,30854233,4.915e-09,8,1.363e-12,1.699e-09
"chr4",1166754,1166990,1.579e-19,8,1.429e-24,2.16e-21
"chr1",94344259,94344710,3.116e-14,6,1.797e-27,1.421e-24
"chr13",26586253,26586713,8.215e-11,6,9.991e-22,7.745e-19
"chr6",64281438,64281886,5.708e-17,8,8.343e-24,6.641e-21
"chr22",46449751,46450114,9.228e-07,7,3.861e-13,3.793e-10
"chr6",33132610,33132727,1.076e-22,7,9.474e-19,2.887e-15
"chr2",3642399,3642867,2.925e-07,8,3.072e-15,2.369e-12
