"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr6",33041217,33041583,6.923e-09,7,2.371e-18,2.31e-15
"chr10",105156203,105156444,1.98e-14,6,3.518e-19,5.206e-16
"chr6",28641621,28641757,5.769e-16,8,2.359e-18,6.185e-15
"chr3",164914436,164914621,8.954e-11,6,1.426e-15,2.782e-12
"chr16",84224563,84224901,4.267e-08,5,5.147e-17,5.43e-14
"chr3",10149881,10149979,5.257e-16,5,4.36e-17,1.586e-13
"chr6",30070073,30070109,3.91e-06,5,1.989e-08,0.000197
"chr20",43729807,43730072,1.706e-12,7,7.139e-16,8.964e-13
"chr1",161008461,161008826,6.9e-12,7,1.169e-21,1.142e-18
"chr17",45810358,45810512,6.666e-15,7,6.289e-19,1.456e-15
"chr4",163085234,163085411,4.292e-17,7,3.586e-20,7.225e-17
"chr10",133273946,133274319,3.695e-11,6,2.124e-20,2.031e-17
"chr19",15342981,15343425,6.148e-12,9,1.389e-19,1.115e-16
"chr12",129309116,129309376,7.495e-07,5,8.618e-11,1.182e-07
"chr6",29716938,29717136,1.356e-14,5,7.55e-20,1.36e-16
"chr4",89618981,89619085,9.778e-13,8,2.959e-15,1.028e-11
"chr2",26624449,26624934,5.682e-14,10,3.61e-24,2.654e-21
"chr6",30523071,30523449,6.507e-22,10,1.379e-27,1.301e-24
"chr11",2482222,2482594,1.613e-16,10,4.424e-27,4.241e-24
"chr7",73275264,73275436,5.131e-19,6,3.61e-22,7.484e-19
"chr6",160389644,160389851,1.676e-13,8,9.389e-21,1.617e-17
"chr16",8806358,8806756,8.707e-05,7,2.074e-10,1.859e-07
"chr17",46651721,46651952,4.869e-20,7,1.121e-23,1.73e-20
"chr19",13875296,13875430,1.338e-12,5,4.73e-18,1.259e-14
"chr17",36981594,36981749,6.809e-14,5,5.441e-23,1.252e-19
"chr6",28973317,28973524,1.727e-18,10,2.345e-24,4.04e-21
"chr17",6554841,6554987,3.378e-10,5,1.204e-17,2.941e-14
"chr3",57742982,57743171,1.029e-16,5,8.842e-19,1.668e-15
"chr17",41278134,41278444,1.629e-07,8,4.661e-10,5.362e-07
"chr20",24449667,24449916,7.037e-18,7,3.002e-23,4.299e-20
"chr11",117102798,117102988,1.789e-16,5,1.571e-21,2.949e-18
"chr15",81426346,81426610,3.278e-08,8,1.263e-11,1.706e-08
"chr11",72504856,72504909,2.485e-16,5,1.846e-19,1.242e-15
"chr3",121902441,121902622,2.381e-12,7,7.285e-11,1.435e-07
"chr17",57642674,57642763,7.218e-06,5,2.169e-07,0.0008688
"chr6",32948329,32948526,1.904e-26,6,1.227e-20,2.222e-17
"chr4",331395,331517,4.004e-24,5,1.751e-26,5.118e-23
"chr3",46875703,46875903,6.463e-11,8,4.498e-17,8.021e-14
"chr6",29599159,29599390,2.389e-07,8,4.664e-10,7.2e-07
"chr22",24890689,24890833,1.211e-07,7,1.634e-11,4.047e-08
"chr11",2422519,2422730,1.613e-17,10,3.075e-14,5.197e-11
"chr6",3848862,3849818,9.569e-19,29,3.605e-31,1.345e-28
"chr14",96670861,96671169,4.076e-16,8,2.098e-24,2.429e-21
"chr20",36148132,36148375,4.058e-15,7,7.895e-19,1.159e-15
"chr15",34502417,34502580,1.966e-16,5,5.054e-20,1.106e-16
"chr12",54393549,54393725,5.725e-12,6,1.387e-18,2.81e-15
"chr3",181428376,181428697,1.621e-16,9,1.145e-21,1.272e-18
"chr3",128840618,128840692,2.455e-10,6,4.338e-10,2.091e-06
"chr6",31619761,31619951,1.856e-15,5,3.129e-20,5.873e-17
"chr20",36148614,36149231,1.021e-07,27,3.423e-12,1.978e-09
"chr6",136172686,136172947,2.969e-20,5,1.887e-23,2.578e-20
"chr22",42296818,42296941,3.211e-20,5,1.6e-20,4.637e-17
"chr20",19915715,19915857,7.503e-11,5,2.955e-13,7.422e-10
"chr12",132663427,132663675,1.631e-06,5,5.377e-12,7.731e-09
"chr11",66035476,66035671,7.778e-14,7,3.699e-14,6.761e-11
"chr19",59070390,59070579,1.165e-15,5,9.268e-21,1.749e-17
"chr5",121414210,121414425,1.021e-10,5,9.595e-16,1.657e-12
"chr14",29234889,29235196,3.165e-14,8,7.768e-26,9.023e-23
"chr1",178062685,178062853,1.753e-19,5,2.199e-25,4.668e-22
"chr2",217236629,217236827,1.421e-17,5,6.233e-28,1.123e-24
"chr6",30585022,30585191,8.42e-24,6,4.173e-28,8.805e-25
"chr3",49459908,49460177,1.826e-09,7,7.873e-14,1.043e-10
"chr17",73874464,73874699,5.551e-19,5,1.234e-22,1.872e-19
"chr6",29796014,29796086,2.757e-14,5,3.417e-17,1.692e-13
"chr17",6899296,6899380,5.564e-07,6,4.233e-09,1.797e-05
"chr1",26233331,26233623,8.83e-13,10,1.638e-17,2e-14
