"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr16",10912330,10912718,1.606e-13,6,2.4e-29,2.205e-26
"chr11",2292690,2293309,1.623e-39,20,1.167e-41,6.723e-39
"chr5",2537495,2537834,3.328e-08,6,1.107e-16,1.168e-13
"chr6",31627510,31627714,2.376e-28,7,4.948e-33,8.65e-30
"chr6",31746794,31747250,0,18,8.151e-80,6.375e-77
"chr17",46669454,46669781,3.426e-14,7,2.676e-27,2.918e-24
"chr6",30652646,30652907,2.7e-17,5,7.071e-32,9.661e-29
"chr18",21452729,21452895,3.274e-40,6,3.398e-43,7.3e-40
"chr4",123747446,123747750,1.256e-15,7,4.216e-33,4.945e-30
"chr12",133066504,133066682,1.534e-20,6,6.449e-23,1.292e-19
"chr7",130129945,130130753,4.622e-21,15,5.916e-41,2.611e-38
"chr22",44568698,44568812,1.375e-23,6,4.24e-24,1.326e-20
"chr6",30685073,30685303,9.159e-32,7,5.818e-35,9.021e-32
"chr12",1609368,1609549,2.204e-21,6,6.526e-29,1.286e-25
"chr20",30135107,30135177,1.991e-23,6,5.846e-26,2.978e-22
"chr10",4230412,4230752,3.637e-25,5,1.365e-50,1.432e-47
"chr20",57875317,57875545,1.362e-26,7,4.956e-39,7.752e-36
"chr3",107810506,107810791,2.233e-18,5,2.817e-31,3.525e-28
"chr7",158045979,158046358,9.212e-11,6,1.732e-17,1.63e-14
"chr5",140810050,140810433,9.501e-21,9,3.287e-30,3.06e-27
"chr22",17489111,17489250,8.639e-35,6,1.507e-30,3.866e-27
"chr22",44287771,44288155,6.483e-33,7,1.248e-39,1.159e-36
"chr5",74162770,74162924,2.036e-24,5,1.982e-26,4.59e-23
"chr4",159131323,159131690,3.541e-20,5,2.023e-33,1.966e-30
"chr7",149569882,149570183,1.076e-25,9,4.863e-31,5.761e-28
"chr3",53381804,53381977,7.252e-29,5,1.172e-36,2.415e-33
"chr14",24780403,24780926,5.948e-27,10,2.465e-30,1.681e-27
"chr6",32223075,32223430,2.673e-22,10,1.203e-36,1.208e-33
"chr12",57634409,57634677,2.102e-26,6,5.437e-31,7.235e-28
"chr2",124782585,124782885,3.887e-17,5,3.347e-30,3.978e-27
"chr11",66335974,66336197,2.628e-26,5,1.794e-32,2.868e-29
"chr7",1967620,1967976,1.465e-28,5,4.812e-48,4.821e-45
"chr3",192445499,192445594,2.497e-28,6,8.319e-23,3.123e-19
"chr5",76114521,76114684,3.858e-35,5,4.243e-39,9.282e-36
"chr11",12398873,12399109,3.987e-29,7,3.218e-32,4.863e-29
"chr4",24796918,24797176,1.346e-24,6,3.053e-36,4.219e-33
"chr19",859329,859680,6.868e-24,6,6.272e-32,6.372e-29
"chr19",11529946,11530065,1.704e-20,5,2.572e-27,7.708e-24
"chr12",132690569,132690782,1.955e-27,6,4.407e-34,7.377e-31
"chr6",32119873,32120324,1.992e-20,7,1.215e-37,9.609e-35
"chr11",86383695,86383940,1.3e-30,7,1.618e-35,2.356e-32
"chr12",52995249,52995446,6.652e-19,5,2.877e-24,5.209e-21
"chr12",115134903,115135238,1.704e-41,14,8.332e-43,8.869e-40
"chr2",74685458,74685602,7.229e-37,7,1.708e-30,4.229e-27
"chr13",31479934,31480335,6.646e-28,7,3.285e-44,2.922e-41
"chr6",30688680,30688882,7.132e-26,6,1.991e-23,3.516e-20
"chr6",143998868,143999105,3.508e-29,7,6.397e-41,9.626e-38
"chr6",31515195,31515404,4.217e-24,7,3.621e-37,6.178e-34
"chr6",31830526,31830721,8.184e-34,6,1.411e-27,2.581e-24
"chr3",196065105,196065569,1.074e-40,11,1.512e-59,1.162e-56
"chr6",33423974,33424213,0,9,4.949e-57,7.384e-54
"chr22",25595588,25595840,6.008e-31,6,1.772e-43,2.507e-40
"chr20",57428281,57428437,1.59e-40,5,9.481e-45,2.167e-41
"chr1",236686563,236686804,3.856e-19,5,2.301e-23,3.405e-20
"chr5",132155232,132155555,1.232e-09,5,8.131e-22,8.976e-19
"chr18",32556625,32556804,4.928e-25,5,1.012e-33,2.016e-30
"chr19",12146564,12146696,7.82e-31,5,3.717e-30,1.004e-26
"chr13",113633378,113633676,3.361e-21,6,7.729e-28,9.249e-25
"chr11",64051698,64051814,1.555e-35,6,1.156e-35,3.555e-32
"chr10",134043617,134043897,1.014e-10,5,1.944e-18,2.476e-15
"chr6",30509404,30509642,1.324e-29,7,5.651e-38,8.467e-35
"chr17",7323539,7323730,0,5,8.505e-51,1.588e-47
"chr7",44240379,44240570,2.78e-31,6,3.942e-39,7.36e-36
"chr5",135416330,135416613,2.479e-05,8,4.021e-09,5.067e-06
"chr6",27832868,27832992,2.806e-24,5,5.106e-24,1.468e-20
"chr10",121356702,121356865,1.236e-34,5,2.237e-39,4.895e-36
"chr4",41867414,41867562,5.182e-27,5,7.161e-30,1.725e-26
"chr18",49866209,49866412,1.503e-33,8,9.955e-38,1.749e-34
"chr6",28601268,28601519,5.005e-20,13,3.192e-24,4.535e-21
"chr8",142377302,142377489,2.264e-31,5,2.748e-35,5.24e-32
"chr12",57940956,57941150,2.973e-27,6,1.274e-37,2.341e-34
"chr17",65471302,65471507,1.725e-12,5,6.498e-21,1.13e-17
"chr2",175260419,175260698,1.941e-22,5,4.368e-36,5.583e-33
"chr17",33760229,33760527,1.562e-16,5,9.586e-25,1.147e-21
"chr18",44236846,44237151,0,8,3.542e-49,4.141e-46
"chr3",111717681,111718245,1.215e-20,8,2.965e-37,1.875e-34
"chr11",113258209,113258455,2.89e-27,6,2.066e-44,2.995e-41
"chr12",110156244,110156459,3.409e-27,5,2.093e-30,3.471e-27
"chr10",18629496,18629677,4.748e-28,5,1.232e-41,2.428e-38
"chr6",30420980,30421218,1.702e-14,6,1.382e-22,2.071e-19
"chr6",28602542,28603292,0,21,3.123e-63,1.485e-60
"chr5",139493485,139493680,2.094e-27,5,1.344e-30,2.458e-27
"chr12",89748772,89749142,1.557e-31,6,3.14e-29,3.027e-26
"chr19",57352013,57352269,6.705e-30,9,2.047e-30,2.852e-27
"chr2",233320485,233320854,1.215e-38,5,9.498e-56,9.179e-53
"chr11",62783360,62783573,4.962e-30,6,1.085e-34,1.817e-31
"chr17",46608267,46608570,0,9,7.456e-62,8.775e-59
"chr14",55907298,55907460,1.189e-12,6,2.324e-16,4.888e-13
"chr1",46859670,46859845,3.566e-16,5,4.999e-24,1.019e-20
"chr20",61446961,61447929,4.121e-41,30,1.023e-62,3.767e-60
"chr6",31778621,31778842,0,8,2.93e-59,4.728e-56
"chr7",152160884,152161197,1.578e-24,5,5.525e-32,6.295e-29
"chr3",49967461,49967713,4.017e-21,6,1.95e-25,2.759e-22
"chr6",32023245,32023383,0,6,9.517e-38,2.459e-34
"chr11",44332127,44332636,1.914e-32,16,1.674e-49,1.172e-46
"chr1",68512649,68513063,1.929e-09,7,2.229e-21,1.92e-18
"chr7",91510313,91510597,3.639e-20,6,3.715e-29,4.665e-26
"chr10",133273799,133274319,3.975e-34,8,1.935e-56,1.327e-53
"chr6",122931153,122931308,0,8,7.126e-43,1.639e-39
"chr11",67205095,67205291,4.091e-24,5,1.094e-27,1.991e-24
"chr16",595485,596009,9.278e-21,6,5.015e-40,3.413e-37
"chr22",45680686,45681036,7.454e-19,6,1.468e-29,1.496e-26
"chr7",23053736,23054024,6.21e-29,10,2.628e-32,3.254e-29
"chr3",182817189,182817626,4.038e-19,9,3.076e-33,2.51e-30
"chr6",30524221,30524408,6.803e-28,6,2.711e-35,5.171e-32
"chr6",150346720,150347053,3.729e-35,10,1.767e-40,1.892e-37
"chr6",29975229,29975427,2.955e-19,6,3.384e-31,6.094e-28
"chr8",42234723,42234975,9.614e-20,5,4.139e-25,5.856e-22
"chr17",10559322,10559537,5.657e-31,5,1.224e-45,2.03e-42
"chr17",50237204,50237403,2.812e-19,5,1.686e-24,3.021e-21
"chr10",102893924,102894342,2.756e-14,6,2.646e-30,2.258e-27
"chr2",26624449,26624934,1.648e-27,10,1.687e-47,1.241e-44
"chr11",94278323,94278603,5.189e-17,8,1.941e-26,2.472e-23
"chr10",71892693,71892787,8.373e-25,6,4.393e-18,1.667e-14
"chr6",31502385,31502521,7.496e-41,6,1.055e-48,2.767e-45
"chr6",30796198,30796407,4.402e-22,6,9.907e-21,1.69e-17
"chr5",140864275,140864834,4.017e-21,8,2.518e-44,1.606e-41
"chr22",42828385,42828516,1.454e-29,6,5.404e-29,1.471e-25
"chr6",3848789,3849818,1.457e-32,30,2.665e-60,9.235e-58
"chr4",111397133,111397401,5.914e-12,6,1.872e-20,2.491e-17
"chr6",27839849,27840257,1.743e-25,6,1.294e-39,1.131e-36
"chr10",102279689,102279791,1.604e-15,6,5.818e-16,1.941e-12
"chr6",64281438,64281886,8.766e-22,8,1.584e-31,1.261e-28
"chr5",1225223,1225719,0,8,1.693e-50,1.218e-47
"chr6",31631637,31631801,0,7,2.335e-44,5.077e-41
"chr6",30165960,30166173,1.365e-35,6,5.964e-36,9.985e-33
"chr3",155421969,155422145,2.729e-14,5,2.262e-20,4.584e-17
"chr2",47382286,47382739,3.909e-25,6,1.27e-54,9.998e-52
"chr6",32085148,32085541,7.796e-29,7,3.018e-30,2.738e-27
"chr7",26191457,26191696,2.556e-25,5,3.695e-35,5.513e-32
"chr1",75198402,75199117,7.317e-17,10,9.848e-40,4.911e-37
"chr10",27703246,27703377,2.421e-24,6,1.08e-27,2.941e-24
"chr3",156838095,156838403,1.266e-12,5,2.794e-22,3.235e-19
"chr11",57267100,57267445,3.287e-17,5,6.007e-23,6.209e-20
"chr6",31707452,31707803,4.685e-37,11,8.191e-46,8.322e-43
"chr12",14927075,14927294,7.435e-22,6,1.31e-33,2.134e-30
"chr16",89557868,89558024,1.063e-31,5,1.472e-33,3.364e-30
"chr17",18163715,18163865,4.989e-31,5,6.107e-35,1.452e-31
"chr8",49647578,49647809,2.175e-22,5,1.174e-30,1.813e-27
"chr17",80545124,80545454,2.685e-19,6,1.63e-33,1.761e-30
"chr8",97657071,97657345,1.354e-32,7,1.749e-41,2.276e-38
