"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr20",43729807,43730072,1.268e-12,7,5.75e-16,7.47e-13
"chr11",94706532,94706874,1.219e-14,7,1.178e-20,1.228e-17
"chr1",204183336,204183603,6.765e-10,6,1.737e-16,2.965e-13
"chr17",46608267,46608570,1.211e-20,9,1.672e-27,1.968e-24
"chr15",83953708,83954150,1.385e-22,10,3.06e-19,2.469e-16
"chr4",57522761,57523055,9.7e-13,6,2.216e-18,2.687e-15
"chr10",127464439,127464762,1.077e-11,6,3.017e-17,3.33e-14
"chr10",93393027,93393238,3.2e-13,5,1.176e-19,1.987e-16
"chr13",113776914,113777160,2.829e-12,8,1.825e-17,2.646e-14
"chr3",57742982,57743171,8.078e-17,5,7.467e-19,1.409e-15
"chr6",31600532,31600734,1.59e-11,6,7.482e-16,1.372e-12
"chr2",234763268,234763390,6.281e-18,6,5.656e-25,1.653e-21
"chr4",104641032,104641319,3.897e-10,6,1.62e-17,2.013e-14
"chr7",95951568,95951745,1.574e-19,6,1.999e-25,4.028e-22
"chr8",72756811,72757004,8.389e-18,7,1.76e-20,3.253e-17
"chr11",3253580,3253838,1.389e-08,6,6.717e-12,9.285e-09
"chr1",75139346,75139583,4.691e-08,7,6.676e-16,1.002e-12
"chr8",42234723,42234975,1.955e-07,5,3.644e-11,5.157e-08
"chr1",25257504,25257813,8.398e-21,11,5.029e-23,5.803e-20
"chr11",2950619,2950754,5.898e-13,5,2.205e-19,5.824e-16
"chr6",143998951,143999105,2.588e-16,6,5.343e-25,1.237e-21
"chr7",145813412,145813494,2.386e-14,7,1.472e-13,6.402e-10
"chr11",28129558,28129852,3.877e-21,7,5.015e-30,6.083e-27
"chr15",75019069,75019376,3.282e-08,8,7.576e-13,8.8e-10
"chr6",31829643,31829960,8.147e-13,9,2.111e-16,2.498e-13
"chr7",1022470,1023066,2.097e-09,7,4.324e-16,2.657e-13
"chr17",79799357,79799549,4.109e-05,5,2.723e-09,5.057e-06
"chr6",32163729,32164160,8.202e-23,13,7.582e-33,6.273e-30
"chr3",164914436,164914621,7.84e-11,6,1.198e-15,2.354e-12
"chr12",4554595,4554809,2.139e-08,5,1.25e-15,2.035e-12
"chr8",110374562,110374866,8.933e-10,6,2.868e-19,3.364e-16
"chr6",136172686,136172947,1.455e-20,5,1.337e-23,1.826e-20
"chr5",76114521,76114684,2.018e-22,5,5.281e-27,1.155e-23
"chr13",111267789,111267979,1.645e-17,7,1.645e-23,3.088e-20
"chr6",32134853,32135396,1.697e-25,19,6.212e-39,4.08e-36
"chr11",2019435,2020560,2.295e-23,36,4.442e-39,1.408e-36
"chr16",90113892,90114200,4.407e-08,5,3.492e-14,4.036e-11
"chr12",100750651,100750811,8.839e-09,5,3.849e-11,8.579e-08
"chr3",49044373,49044551,8.096e-14,6,7.498e-20,1.502e-16
"chr4",174451250,174451564,3.583e-19,9,3.635e-26,4.128e-23
"chr19",8428849,8429166,3.883e-13,5,4.303e-25,4.84e-22
"chr13",52419264,52419383,1.458e-15,5,1.213e-16,3.327e-13
"chr6",33160066,33160318,1.078e-18,12,2.328e-23,3.294e-20
"chr7",45961400,45961569,2.472e-19,8,3.51e-17,7.406e-14
"chr22",30476253,30476345,2.433e-06,6,2.062e-07,0.0007988
"chr1",94344259,94344710,6.908e-11,6,1.096e-21,8.666e-19
"chr19",11909182,11909408,1.194e-15,7,1.38e-12,2.178e-09
"chr6",33132610,33132705,1.898e-17,6,4.435e-19,1.665e-15
"chr6",10722914,10723095,1.242e-14,5,1.147e-19,2.26e-16
"chr10",35894193,35894430,1.125e-08,7,8.406e-15,1.27e-11
"chr1",50489566,50489954,2.754e-16,11,5.109e-26,4.696e-23
"chr6",122720483,122720674,1.131e-13,5,2.429e-22,4.535e-19
"chr6",29796014,29796086,1.898e-14,5,2.603e-17,1.289e-13
"chr12",12848976,12849138,2.011e-12,5,1.291e-16,2.444e-13
"chr2",85581504,85581729,7.065e-17,6,9.394e-21,1.489e-17
"chr1",78511343,78511600,2.103e-06,6,2.114e-12,2.933e-09
"chr15",74218696,74218780,8.669e-06,6,6.832e-08,0.00029
"chr19",58609601,58609987,1.44e-19,9,1.225e-26,1.131e-23
"chr7",79083752,79084196,1.304e-13,9,1.707e-18,1.371e-15
"chr10",13043877,13043986,1.22e-20,6,1.079e-17,3.53e-14
"chr8",117778487,117778786,2.386e-14,5,1.92e-19,2.29e-16
"chr7",73867796,73867927,1.57e-14,5,3.638e-20,9.904e-17
"chr10",135049990,135050345,7.827e-12,7,2.795e-22,2.808e-19
"chr5",140800423,140800629,7.078e-07,5,1.278e-12,2.212e-09
"chr5",126852954,126853174,1.482e-15,7,1.411e-16,1.8e-13
"chr10",133273946,133274319,3.102e-11,6,1.787e-20,1.709e-17
"chr7",150020135,150020269,2.726e-05,5,2.858e-06,0.007578
"chr20",44600908,44600978,1.697e-25,6,5.261e-30,2.68e-26
"chr11",124767800,124768015,7.215e-09,5,1.892e-15,3.13e-12
"chr6",33235657,33235969,5.527e-21,7,5.935e-27,6.783e-24
"chr20",44509619,44509853,6.242e-25,8,1.533e-25,2.336e-22
"chr1",17846707,17846815,1.91e-11,5,1.357e-13,4.48e-10
"chr8",86350888,86351195,1.764e-09,6,3.982e-16,5.158e-13
"chr17",73642485,73642628,6.217e-08,5,3.165e-10,7.892e-07
"chr22",44287771,44288155,3.977e-18,7,4.87e-22,4.523e-19
"chr1",75198402,75198841,2.01e-08,6,1.59e-17,1.291e-14
"chr1",42618890,42619163,2.867e-11,6,1.133e-15,1.45e-12
"chr17",74099943,74100132,5.718e-17,5,1.3e-17,2.452e-14
"chr3",9975155,9975447,7.824e-13,5,4.536e-22,5.539e-19
"chr1",204328842,204329222,1.034e-10,7,1.288e-20,1.209e-17
"chr19",39574711,39575027,8.922e-12,7,2.671e-21,3.014e-18
"chr7",99517191,99517378,2.532e-12,8,2.177e-20,4.151e-17
"chr4",113970616,113970820,2.332e-09,5,8.173e-18,1.429e-14
"chr4",113739169,113739379,5.562e-18,7,9.794e-21,1.663e-17
"chr6",30720079,30720263,2.864e-05,6,1.443e-09,2.796e-06
"chr11",108092963,108093109,1.316e-16,5,2.853e-26,6.969e-23
"chr6",10881890,10882240,8.952e-12,6,2e-19,2.038e-16
"chr5",71014735,71014918,3.16e-17,7,2.024e-17,3.944e-14
"chr11",15136344,15136505,7.53e-15,5,2.014e-23,4.461e-20
"chr6",31502385,31502521,8.242e-16,6,1.459e-18,3.825e-15
"chr11",71955298,71955439,4.985e-13,5,6.954e-16,1.685e-12
"chr11",102962861,102963161,6.175e-14,7,6.768e-25,8.045e-22
"chr6",33168278,33168516,3.178e-21,7,5.839e-26,8.749e-23
"chr17",58042143,58042342,7.699e-17,6,7.016e-18,1.257e-14
"chr14",101531754,101531905,2.391e-15,5,3.824e-20,9.031e-17
"chr5",170736131,170736335,3.663e-16,7,2.451e-16,3.881e-13
"chr6",28911872,28912084,4.007e-15,7,1.587e-15,2.614e-12
"chr3",134369986,134370241,1.539e-15,6,3.089e-24,4.319e-21
"chr11",66335974,66336197,1.365e-15,5,8.943e-21,1.43e-17
"chr6",30309482,30309653,6.36e-22,7,1.266e-24,2.64e-21
"chr12",106751294,106751428,6.829e-13,5,1.688e-21,4.491e-18
"chr7",93205125,93205295,5.982e-11,8,2.247e-17,4.713e-14
"chr6",133562086,133562494,2.069e-15,12,1.585e-21,1.385e-18
"chr11",705691,706070,1.646e-09,5,1.038e-16,1.045e-13
"chr6",33281767,33282016,4.989e-17,7,8.296e-27,1.188e-23
"chr17",76976009,76976357,1.297e-08,7,3.479e-14,3.561e-11
"chr12",57588143,57588350,1.213e-24,7,1.094e-27,1.885e-24
"chr3",49459908,49460177,1.649e-09,7,6.655e-14,8.816e-11
"chr6",32064145,32064218,2.864e-05,7,2.93e-06,0.01421
"chr3",111804829,111805005,5.231e-10,5,1.668e-15,3.374e-12
"chr20",57582855,57583434,3.131e-07,12,4.834e-14,2.974e-11
"chr1",84326461,84326767,9.339e-13,6,6.224e-22,7.253e-19
"chr18",74960995,74961494,3.475e-17,13,1.321e-20,9.439e-18
"chr6",32118203,32118457,1.625e-08,14,1.759e-12,2.47e-09
"chr6",31938860,31939322,7.7e-13,13,1.848e-21,1.426e-18
"chr11",76381039,76381236,6.153e-12,7,4.711e-14,8.521e-11
"chr6",31129328,31129751,7.608e-18,10,1.124e-23,9.478e-21
"chr1",161008461,161008826,5.912e-12,7,8.875e-22,8.671e-19
"chr5",159435960,159436125,2.659e-18,5,4.694e-27,1.015e-23
"chr14",100111262,100111392,3.576e-17,7,2.242e-15,6.091e-12
"chr5",87980881,87981253,9.149e-09,6,3.221e-17,3.088e-14
"chr6",52009018,52009154,4.222e-17,5,1.13e-19,2.962e-16
"chr13",114107875,114108052,5.264e-16,7,2.406e-16,4.473e-13
"chr7",127670992,127671195,1.245e-15,6,4.161e-21,7.309e-18
"chr7",120590543,120590861,1.701e-11,6,3.462e-19,3.882e-16
"chr12",108908719,108908922,3.842e-16,6,2.814e-19,4.942e-16
"chr6",30688800,30688882,1.384e-14,5,1.103e-11,4.795e-08
"chr5",132113600,132113776,5.014e-07,7,1.051e-12,2.129e-09
"chr6",134210137,134210307,1.38e-07,7,1.55e-12,3.25e-09
"chr7",143599077,143599409,2.246e-19,7,2.921e-26,3.137e-23
"chr1",248100227,248100614,0.000219,7,6.325e-09,5.829e-06
"chr3",111697478,111697794,2.137e-11,6,5.73e-19,6.466e-16
"chr5",138211042,138211184,7.378e-15,6,2.693e-15,6.691e-12
"chr6",32156070,32156527,1.747e-07,5,5.737e-17,8.66e-14
"chr4",175750509,175750666,2.266e-15,5,3.562e-21,8.091e-18
"chr12",51236581,51236704,8.321e-07,5,3.004e-08,8.71e-05
"chr10",22634037,22634226,1.943e-16,7,3.988e-18,7.525e-15
"chr12",122712074,122712212,1.321e-06,6,3.225e-09,8.334e-06
"chr3",37033893,37034084,1.878e-18,6,5.652e-22,1.055e-18
"chr6",26044203,26044460,3.051e-13,6,2.105e-16,3.081e-13
