"#chrom","start","end","min_p","n_probes","z_p","z_sidak_p"
"chr11",76380920,76381236,4.228e-30,8,4.383e-32,4.946e-29
"chr15",75019069,75019376,2.877e-18,10,1.983e-25,2.304e-22
"chr11",41481357,41481655,6.539e-17,5,2.63e-30,3.147e-27
"chr4",77356174,77356507,1.501e-18,5,2.162e-25,2.316e-22
"chr6",10521141,10521715,2.303e-16,6,1.651e-32,1.026e-29
"chr12",25102273,25102521,1.333e-17,5,3.053e-22,4.39e-19
"chr6",134210137,134210307,4.016e-15,7,3.829e-23,8.033e-20
"chr13",113776914,113777160,9.765e-39,8,8.203e-45,1.189e-41
"chr6",10722914,10723095,9.403e-24,5,1.394e-29,2.746e-26
"chr11",2153990,2154432,1.342e-14,7,4.004e-24,3.23e-21
"chr3",171757266,171757361,3.578e-23,5,1.386e-20,5.202e-17
"chr10",135340720,135341025,2.883e-33,6,1.626e-35,1.901e-32
"chr5",112042850,112043194,1.091e-37,11,2.084e-48,2.16e-45
"chr6",33235657,33235977,3.767e-40,8,1.118e-43,1.246e-40
"chr1",93645672,93646016,1.897e-19,5,1.703e-31,1.765e-28
"chr20",57582786,57583520,1.168e-23,17,4.178e-35,2.03e-32
"chr8",117778487,117778786,2.112e-20,5,4.072e-26,4.857e-23
"chr2",131673893,131674201,9.78e-10,5,1.072e-14,1.247e-11
"chr6",31938860,31939322,1.272e-27,13,7.819e-43,6.035e-40
"chr19",46318438,46318918,4.657e-18,6,1.961e-33,1.457e-30
"chr11",108092963,108093109,6.143e-24,5,6.979e-36,1.705e-32
"chr17",76975943,76976357,5.033e-20,8,4.611e-32,3.972e-29
"chr12",100750651,100750899,3.071e-18,6,5.778e-24,8.308e-21
"chr20",1471883,1472419,7.331e-15,6,5.3e-27,3.526e-24
"chr6",74104387,74104868,4.518e-08,6,3.137e-15,2.305e-12
"chr12",89748725,89749142,8.595e-21,7,3.801e-20,3.25e-17
"chr6",168393929,168394198,1.287e-19,5,4.792e-24,6.353e-21
"chr1",23763278,23763782,2.367e-29,5,5.06e-32,3.581e-29
"chr2",85581377,85581729,1.063e-25,7,6.987e-32,7.078e-29
